ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,14964,15163,15386,15789,15426,15799,15664,15523,15455,15496,15494,15270,15613,15975,15701,15664,15106,14757,14670,13796,13820,13854,14442,14046,13851,13378,12621,12122,11364,10790,10155,10174,9543,9200,9095,8185,8499,8086,7572,9030,7365,7833,7519,6977,6791,6560,6564,6280,6551,6597,6397,6369,6495,6252,6286,6317,6427,6482,6373,6343,6389,6363,6458,6219,6310,6311,5237,4995,5008,4888,4821,4767,4676,4591,4515,4448,4384,4331,4277,4235,4193,4160,4130,4108,4089,4077,4064,4052,4039,4027,4009,3990,3970,3940,3909,3873,3827,3781,3733,3681,3627,3579,3534,3490,3451,3419,3385,3356,3334,3313,3295,3284,3270,3262
1,14776,14551,14933,15004,15386,15138,15427,15293,15106,15136,14849,15189,15037,15341,15695,15510,15439,14849,14395,14419,13384,13838,13846,14403,14003,13797,13285,12478,12044,11268,10612,10184,10179,9582,9193,9100,8283,8525,8187,7927,7958,7394,7818,7519,6952,6817,6564,6486,6282,6587,6551,6425,6381,6497,6242,6308,6318,6430,6416,6302,6566,6451,6408,6521,6266,6366,5482,5289,4988,5001,4883,4817,4764,4674,4590,4516,4449,4386,4334,4281,4239,4198,4166,4137,4116,4097,4085,4073,4061,4049,4037,4019,4000,3980,3951,3920,3884,3838,3792,3744,3693,3639,3591,3546,3503,3464,3432,3398,3370,3347,3326,3309,3298,3284
2,14460,14678,14498,14833,14839,15191,14903,15313,15245,14808,14872,14749,15109,14899,15243,15560,15330,15165,14618,14109,14211,13442,13905,13894,14397,14009,13790,13230,12365,11995,11181,10654,10295,10232,9643,9196,9108,8438,8572,8339,7907,7981,7475,7823,7496,6956,6808,6539,6433,6268,6574,6578,6458,6413,6490,6265,6350,6346,6421,6388,6529,6568,6482,6447,6513,6302,5680,5464,5285,4986,4998,4882,4817,4765,4676,4593,4519,4454,4392,4340,4287,4247,4206,4175,4146,4126,4108,4096,4084,4073,4061,4048,4031,4012,3992,3963,3932,3896,3851,3804,3757,3706,3652,3605,3560,3516,3477,3446,3413,3384,3362,3341,3323,3313
3,15110,14374,14747,14511,14681,14716,15146,14787,15065,15047,14507,14724,14617,15001,14827,15131,15462,15087,14985,14415,13874,14257,13517,13995,13951,14403,14012,13786,13177,12254,11944,11168,10687,10391,10251,9703,9211,9120,8564,8596,8173,7928,8038,7531,7811,7445,6944,6787,6541,6385,6243,6568,6616,6497,6427,6498,6276,6369,6365,6407,6287,6552,6627,6552,6483,6565,5935,5692,5464,5285,4987,4999,4884,4820,4768,4680,4598,4525,4460,4399,4348,4296,4256,4216,4185,4157,4137,4119,4108,4096,4085,4073,4061,4044,4025,4006,3976,3946,3910,3865,3818,3771,3720,3666,3618,3574,3531,3492,3461,3427,3399,3377,3356,3339
4,14386,14992,14481,14563,14445,14639,14608,14963,14690,14986,14745,14368,14619,14589,14912,14744,15029,15309,15003,14898,14200,13937,14302,13589,14083,14013,14413,14020,13780,13119,12149,11981,11172,10732,10465,10256,9745,9224,9126,8692,8320,8213,7973,8077,7608,7798,7409,6934,6786,6538,6339,6235,6583,6629,6527,6446,6517,6286,6360,6372,6395,6311,6588,6668,6624,6522,6321,5938,5693,5466,5287,4990,5001,4888,4825,4774,4686,4605,4533,4469,4408,4357,4306,4266,4227,4196,4169,4149,4132,4121,4109,4098,4086,4075,4057,4039,4019,3990,3959,3924,3878,3832,3785,3734,3680,3633,3588,3545,3506,3475,3442,3414,3392,3371
5,13334,14294,14968,14425,14631,14298,14616,14524,14869,14495,14716,14593,14325,14413,14568,14772,14646,14992,15158,14765,14719,14256,14003,14352,13662,14176,14075,14419,14029,13777,13068,12201,12026,11195,10763,10533,10275,9780,9230,9147,8558,8330,8252,7989,8127,7706,7791,7388,6937,6782,6542,6366,6246,6579,6656,6537,6462,6551,6298,6357,6539,6424,6346,6603,6732,6654,6476,6325,5941,5696,5469,5291,4994,5006,4893,4831,4781,4694,4613,4541,4477,4417,4367,4316,4277,4238,4208,4181,4162,4144,4134,4122,4111,4100,4088,4071,4053,4033,4004,3973,3938,3892,3846,3799,3748,3694,3647,3603,3559,3521,3490,3456,3428,3406
6,13316,13308,14284,14952,14302,14635,14253,14485,14414,14650,14284,14606,14474,14246,14306,14473,14667,14510,14926,15110,14704,14756,14307,14071,14400,13738,14270,14134,14428,14039,13775,13104,12246,12058,11191,10799,10574,10275,9819,9248,8944,8590,8352,8278,8023,8210,7787,7772,7364,6938,6779,6555,6389,6272,6603,6681,6564,6486,6540,6296,6764,6561,6457,6372,6641,6772,6413,6486,6327,5945,5700,5474,5296,5000,5011,4900,4838,4788,4702,4622,4550,4487,4427,4377,4327,4289,4250,4220,4193,4174,4157,4147,4135,4125,4113,4102,4085,4066,4047,4018,3987,3952,3906,3860,3813,3762,3708,3661,3617,3574,3535,3504,3471,3443
7,12769,13178,13272,14267,14995,14319,14490,14175,14368,14288,14488,14218,14473,14434,14079,14178,14492,14579,14402,14842,14975,14734,14798,14363,14137,14451,13817,14364,14197,14435,14043,13810,13145,12278,12096,11192,10819,10629,10289,9862,9039,8966,8623,8369,8292,8073,8262,7871,7755,7342,6946,6775,6582,6405,6306,6630,6714,6608,6507,6531,6991,6766,6595,6543,6412,6659,6528,6423,6489,6331,5950,5705,5480,5302,5006,5018,4907,4845,4796,4710,4630,4560,4497,4437,4388,4338,4300,4261,4232,4205,4187,4170,4159,4148,4137,4126,4115,4098,4079,4060,4031,4000,3965,3920,3873,3826,3775,3721,3674,3630,3587,3548,3517,3484
8,13239,12703,13213,13279,14153,14874,14239,14529,14187,14305,14071,14390,14122,14444,14338,13958,14074,14544,14506,14291,14745,15003,14765,14842,14421,14206,14502,13895,14455,14258,14447,14070,13841,13184,12324,12125,11187,10839,10668,10318,9651,9049,9006,8646,8369,8329,8108,8322,7958,7739,7307,6956,6784,6593,6441,6364,6637,6766,6643,6499,7348,7027,6782,6617,6556,6462,6569,6537,6427,6493,6335,5955,5711,5486,5308,5013,5024,4914,4853,4804,4719,4639,4569,4506,4447,4398,4349,4311,4273,4244,4217,4199,4182,4171,4160,4150,4139,4127,4111,4092,4073,4044,4013,3978,3933,3886,3839,3788,3734,3687,3643,3600,3561,3531
9,13344,13072,12775,13226,13160,14160,14870,14134,14548,14146,14059,13883,14237,13978,14296,14177,13913,13927,14474,14441,14172,14761,15032,14796,14886,14477,14277,14548,13974,14547,14326,14513,14081,13895,13203,12380,12154,11177,10849,10716,10164,9668,9093,9043,8677,8375,8359,8141,8384,8037,7716,7314,6991,6804,6605,6454,6397,6648,6774,6660,7719,7372,7053,6830,6652,6571,6512,6552,6541,6432,6497,6339,5961,5717,5493,5314,5020,5031,4921,4861,4812,4727,4648,4578,4516,4457,4409,4359,4322,4284,4255,4228,4210,4193,4183,4172,4162,4151,4140,4123,4105,4086,4057,4026,3991,3945,3899,3852,3801,3747,3700,3655,3612,3574
10,12710,13247,13223,12709,13112,13107,14060,14814,14131,14413,14004,13877,13834,14072,13875,14159,14098,13792,13812,14360,14307,14182,14773,15068,14828,14930,14531,14350,14599,14050,14635,14360,14567,14102,13912,13208,12390,12163,11172,10849,10578,10178,9685,9129,9074,8724,8376,8382,8177,8440,8098,7731,7327,7012,6804,6613,6486,6425,6650,6771,8085,7775,7390,7073,6896,6662,6549,6490,6556,6546,6437,6502,6344,5967,5723,5499,5321,5027,5038,4929,4869,4820,4735,4657,4587,4526,4467,4419,4369,4332,4294,4266,4239,4221,4205,4195,4184,4174,4163,4152,4135,4117,4098,4069,4038,4003,3957,3911,3864,3812,3759,3712,3667,3624
11,14311,12565,13277,13134,12715,13008,13064,14131,14761,13967,14437,13826,13835,13578,13956,13787,14137,14046,13742,13652,14393,14270,14190,14787,15102,14858,14976,14589,14421,14651,14123,14670,14405,14580,14113,13937,13219,12403,12164,11190,10730,10583,10206,9709,9153,9110,8767,8368,8407,8226,8499,8090,7749,7385,7038,6819,6634,6535,6451,6650,8475,8096,7810,7458,7127,6924,6441,6545,6494,6560,6550,6442,6506,6349,5973,5729,5506,5327,5034,5044,4936,4876,4828,4744,4666,4596,4535,4477,4428,4379,4342,4305,4276,4250,4232,4216,4206,4195,4185,4174,4163,4146,4128,4109,4080,4050,4014,3969,3922,3875,3824,3770,3723,3679
12,13110,14074,12695,13213,12962,12583,12931,12968,13993,14722,13829,14182,13597,13644,13515,13943,13665,13959,13918,13603,13528,14272,14227,14201,14801,15137,14889,15020,14647,14492,14698,14113,14683,14428,14601,14135,13962,13224,12415,12175,11109,10725,10617,10226,9728,9188,9146,8809,8363,8420,8257,8508,8074,7760,7409,7054,6825,6639,6552,6472,8260,8511,8110,7857,7528,7149,6721,6451,6548,6498,6564,6555,6447,6511,6354,5978,5734,5512,5334,5041,5051,4943,4884,4836,4752,4674,4605,4544,4486,4438,4389,4352,4315,4286,4260,4242,4226,4216,4206,4196,4185,4174,4157,4139,4120,4091,4061,4025,3980,3933,3886,3835,3781,3734
13,12594,12960,14170,12647,13073,12926,12516,12829,13050,13931,14576,13649,14006,13366,13437,13277,13750,13519,13901,13774,13527,13451,14145,14195,14211,14816,15170,14921,15066,14704,14553,14690,14104,14716,14430,14613,14146,13975,13233,12411,12147,11104,10737,10629,10230,9756,9203,9176,8857,8357,8453,8261,8496,8056,7775,7412,7075,6855,6650,6566,8535,8301,8522,8094,7898,7567,6664,6722,6455,6552,6502,6568,6559,6452,6515,6358,5984,5740,5518,5340,5047,5057,4950,4891,4844,4760,4682,4613,4552,4495,4447,4398,4361,4324,4296,4270,4252,4236,4226,4216,4206,4195,4184,4168,4150,4131,4102,4071,4036,3990,3944,3896,3845,3792
14,11647,12374,13114,14099,12507,12976,12750,12479,12681,12872,13848,14317,13337,13759,13224,13166,13195,13608,13386,13796,13666,13420,13371,14025,14162,14220,14830,15202,14955,15106,14746,14548,14688,14108,14719,14439,14629,14160,13988,13249,12443,12133,11123,10744,10657,10267,9775,9218,9203,8892,8371,8475,8252,8491,8053,7798,7461,7114,6868,6657,8517,8579,8301,8537,8089,7916,6809,6660,6725,6459,6556,6506,6573,6564,6457,6520,6363,5990,5746,5524,5346,5054,5064,4957,4899,4851,4768,4691,4622,4561,4504,4456,4407,4371,4334,4306,4280,4262,4246,4237,4226,4217,4206,4195,4179,4161,4142,4113,4082,4046,4001,3954,3907,3856
15,11838,11405,12497,13021,14031,12259,12882,12713,12426,12470,12689,13517,14092,13065,13583,13013,13074,12998,13474,13328,13642,13545,13310,13297,13898,14128,14230,14842,15234,14983,15142,14732,14537,14687,14081,14724,14450,14630,14162,13995,13306,12430,12121,11124,10757,10700,10286,9789,9234,9232,8910,8392,8476,8245,8503,8035,7829,7466,7134,6869,8839,8558,8600,8343,8580,8111,6924,6815,6663,6728,6463,6560,6512,6578,6570,6463,6526,6369,5997,5753,5531,5353,5061,5071,4965,4907,4860,4777,4700,4631,4571,4513,4465,4417,4381,4344,4316,4290,4273,4257,4248,4237,4228,4217,4206,4190,4172,4153,4124,4093,4057,4012,3965,3918
16,11409,11561,11649,12447,12831,13848,12242,12722,12508,12270,12264,12466,13163,13817,12822,13402,12776,12934,12862,13375,13187,13507,13425,13202,13221,13774,14092,14240,14859,15265,15006,15114,14708,14516,14665,14078,14735,14453,14613,14160,14046,13283,12420,12095,11114,10782,10731,10302,9803,9236,9250,8890,8419,8471,8254,8506,8039,7827,7486,7154,9226,8883,8592,8600,8344,8617,6765,6908,6820,6669,6734,6470,6567,6519,6585,6577,6470,6533,6376,6005,5761,5540,5362,5070,5080,4974,4917,4870,4787,4710,4642,4581,4524,4477,4429,4392,4356,4328,4302,4285,4269,4260,4250,4240,4230,4219,4202,4184,4165,4136,4106,4070,4024,3978
17,11409,11164,11745,11395,12322,12700,13651,12073,12565,12263,12212,12061,12152,12924,13565,12596,13201,12587,12726,12800,13246,13048,13371,13305,13093,13140,13652,14056,14246,14876,15291,14973,15092,14686,14502,14662,14053,14740,14451,14618,14262,14021,13269,12404,12068,11115,10786,10745,10324,9813,9238,9238,8874,8437,8483,8256,8499,8035,7843,7515,9307,9252,8918,8642,8641,8365,6597,6768,6916,6828,6678,6743,6480,6577,6529,6595,6588,6481,6544,6387,6016,5773,5552,5374,5083,5093,4987,4930,4883,4800,4724,4656,4596,4539,4491,4444,4407,4371,4343,4318,4301,4285,4276,4266,4256,4246,4235,4219,4201,4181,4153,4122,4086,4040
18,11579,11302,11349,11554,11340,12079,12627,13470,11903,12437,12114,11918,11849,11978,12680,13266,12255,13028,12364,12611,12585,13113,12911,13236,13182,12981,13064,13530,14021,14258,14869,15205,14905,15007,14614,14465,14596,14032,14703,14438,14729,14202,13993,13227,12378,12013,11098,10772,10784,10319,9815,9236,9216,8831,8466,8492,8274,8512,8036,7868,9802,9338,9263,8948,8719,8657,6720,6601,6782,6931,6843,6693,6758,6497,6593,6546,6612,6605,6499,6561,6404,6034,5790,5570,5392,5102,5111,5006,4949,4903,4820,4744,4676,4616,4560,4512,4465,4429,4393,4365,4340,4323,4308,4298,4288,4279,4268,4258,4241,4223,4204,4175,4144,4109
19,11147,11391,11445,11241,11544,11082,12013,12362,13306,11745,12056,11866,11556,11477,11671,12399,12993,12137,12848,12223,12359,12454,12976,12771,13101,13063,12875,12988,13406,13989,14260,14734,15084,14808,14928,14523,14371,14513,13950,14680,14544,14638,14152,13935,13144,12295,11929,11066,10750,10768,10301,9769,9205,9182,8791,8471,8512,8290,8547,8045,10266,9834,9368,9251,8873,8718,6777,6727,6624,6805,6954,6866,6717,6782,6522,6618,6572,6638,6631,6525,6585,6429,6061,5817,5597,5419,5129,5138,5034,4977,4931,4849,4773,4705,4645,4589,4542,4495,4459,4423,4396,4371,4354,4339,4330,4320,4310,4300,4289,4273,4255,4236,4206,4176
20,10686,10884,11563,11339,11130,11328,10972,11866,12332,12981,11391,11867,11580,11354,11289,11488,12138,12837,11822,12582,11938,12251,12320,12839,12633,12966,12944,12766,12910,13284,13937,14110,14597,14967,14673,14811,14416,14265,14396,13868,14759,14421,14545,14092,13843,13051,12190,11819,11013,10708,10727,10223,9707,9177,9149,8780,8518,8522,8311,8546,10585,10257,9810,9377,9253,8920,7026,6790,6758,6656,6836,6985,6897,6749,6814,6556,6651,6605,6671,6665,6558,6619,6462,6095,5852,5633,5454,5165,5173,5070,5014,4968,4886,4810,4743,4684,4627,4581,4534,4498,4463,4436,4411,4394,4379,4370,4360,4351,4341,4330,4313,4295,4276,4247
21,11377,10646,10992,11429,11136,10928,11235,10776,11727,11957,12666,11239,11657,11422,11097,10972,11235,11754,12459,11640,12429,11853,12145,12187,12703,12491,12829,12825,12657,12833,13152,13796,13986,14448,14843,14554,14687,14304,14128,14272,13918,14640,14351,14466,14005,13741,12933,12082,11695,10915,10664,10614,10174,9679,9147,9121,8788,8577,8540,8348,10591,10612,10300,9819,9330,9297,7266,7035,6826,6795,6694,6873,7022,6935,6787,6852,6596,6690,6645,6711,6705,6599,6658,6502,6137,5893,5675,5497,5208,5216,5113,5058,5012,4930,4855,4788,4729,4673,4627,4580,4546,4510,4483,4459,4443,4428,4419,4409,4400,4389,4378,4362,4344,4325
22,10537,11329,10732,10851,11251,11010,10806,11021,10659,11399,11663,12475,11049,11521,11201,10875,10793,10955,11535,12330,11334,12305,11771,12040,12056,12562,12352,12699,12707,12548,12738,13040,13705,13880,14340,14722,14431,14577,14161,14049,14342,13825,14557,14261,14346,13881,13619,12800,11949,11596,10818,10568,10525,10114,9647,9125,9147,8774,8620,8563,10827,10583,10609,10296,9813,9384,7670,7254,7072,6865,6834,6734,6913,7062,6974,6827,6893,6639,6732,6688,6753,6748,6643,6701,6545,6183,5939,5722,5543,5255,5262,5161,5106,5060,4979,4904,4838,4780,4724,4678,4632,4598,4563,4536,4512,4496,4481,4472,4463,4453,4443,4432,4416,4398
23,10688,10423,11448,10640,10762,11118,10903,10639,10886,10445,11134,11594,12304,10770,11154,10856,10647,10513,10678,11313,11995,11287,12180,11688,11938,11927,12427,12211,12562,12590,12429,12627,12970,13648,13730,14221,14566,14309,14440,14000,14137,14235,13727,14454,14125,14215,13757,13479,12653,11813,11465,10743,10532,10455,10090,9596,9142,9161,8777,8687,11568,10813,10575,10535,10250,9800,8051,7673,7287,7106,6903,6872,6774,6951,7100,7013,6867,6932,6682,6773,6731,6796,6791,6687,6744,6588,6228,5985,5768,5590,5302,5309,5209,5154,5109,5029,4955,4889,4831,4776,4731,4685,4651,4617,4590,4566,4551,4536,4527,4518,4509,4498,4488,4471
24,9781,10552,10358,11331,10492,10692,10970,10701,10441,10640,10066,10900,11360,12122,10581,11005,10707,10311,10267,10488,10991,11925,11242,12050,11606,11835,11796,12289,12074,12428,12461,12341,12537,12884,13570,13632,14113,14443,14190,14327,14060,14026,14155,13651,14347,13932,14041,13600,13324,12504,11695,11437,10712,10502,10381,10057,9620,9194,9181,8810,11758,11644,10834,10600,10484,10291,8217,8019,7696,7313,7134,6934,6904,6807,6983,7132,7046,6901,6966,6719,6809,6769,6833,6830,6726,6783,6627,6270,6027,5811,5633,5347,5352,5253,5200,5155,5076,5002,4937,4880,4826,4781,4736,4702,4668,4642,4619,4603,4588,4580,4571,4562,4551,4541
25,10096,9731,10663,10308,11177,10413,10567,10887,10598,10248,10315,10037,10784,11301,11912,10427,10760,10483,10105,9956,10214,10984,11857,11192,11921,11527,11730,11663,12154,11938,12292,12377,12282,12502,12809,13523,13536,13990,14357,14126,14378,13957,13944,14084,13538,14219,13763,13883,13480,13173,12350,11653,11462,10633,10464,10357,10111,9615,9216,9178,12390,11772,11741,10871,10557,10511,8708,8149,8030,7709,7330,7154,6956,6928,6833,7008,7157,7071,6928,6993,6750,6839,6800,6864,6862,6760,6815,6659,6306,6062,5848,5670,5385,5390,5292,5240,5196,5117,5044,4980,4924,4870,4826,4781,4748,4714,4689,4666,4650,4636,4628,4618,4609,4599
26,9493,9995,9764,10615,10171,10960,10250,10439,10667,10281,9755,10203,9792,10554,11102,11725,10225,10542,10221,9808,9797,10210,10977,11795,11150,11796,11447,11622,11531,12019,11804,12212,12329,12232,12423,12771,13441,13446,13920,14258,14250,14283,13872,13860,14010,13399,14062,13580,13680,13285,13028,12327,11702,11447,10612,10434,10360,10110,9603,9263,13091,12440,11818,11729,10834,10591,8519,8627,8148,8031,7713,7339,7164,6971,6944,6851,7024,7173,7088,6947,7011,6773,6861,6824,6888,6888,6786,6839,6684,6334,6091,5879,5700,5417,5421,5325,5273,5230,5152,5080,5017,4961,4908,4865,4821,4788,4755,4730,4707,4692,4678,4670,4660,4652
27,10048,9425,9971,9650,10464,10057,10855,10092,10255,10423,10023,9670,10092,9687,10432,10871,11608,9955,10267,10046,9572,9802,10206,10974,11730,11105,11671,11362,11518,11400,11895,11772,12159,12292,12194,12396,12710,13390,13371,13843,14353,14178,14242,13813,13749,13914,13284,13879,13450,13487,13137,12959,12334,11708,11437,10597,10467,10340,10079,9613,13187,13143,12488,11923,11723,10852,8755,8483,8611,8138,8024,7708,7339,7167,6978,6952,6861,7033,7182,7097,6958,7023,6789,6876,6841,6906,6906,6805,6856,6702,6356,6113,5902,5724,5443,5446,5351,5301,5258,5181,5110,5048,4993,4941,4898,4854,4822,4789,4765,4742,4727,4714,4706,4697
28,9512,9916,9376,9952,9677,10389,10077,10781,9960,10149,10105,9866,9608,10025,9618,10157,10770,11354,9902,10065,9748,9585,9808,10202,10965,11664,11061,11547,11278,11410,11263,11845,11735,12164,12271,12157,12338,12689,13311,13326,13980,14303,14130,14176,13689,13662,13770,13159,13732,13272,13327,13142,12974,12351,11736,11448,10747,10454,10297,10043,13367,13220,13168,12566,11877,11689,8814,8680,8460,8588,8121,8011,7697,7333,7164,6979,6955,6865,7036,7185,7100,6963,7029,6800,6886,6853,6917,6918,6818,6868,6714,6371,6129,5920,5742,5462,5465,5372,5323,5281,5205,5135,5073,5019,4967,4925,4882,4851,4818,4794,4772,4757,4744,4736
29,9003,9389,9856,9387,9898,9594,10429,9896,10584,9775,9784,10028,9797,9466,10018,9516,10122,10636,11229,9695,9862,9758,9597,9817,10201,10957,11599,11015,11422,11199,11309,11271,11827,11735,12139,12261,12155,12313,12645,13267,13446,13946,14262,14059,14093,13560,13519,13634,12998,13586,13123,13309,13151,12917,12354,11742,11513,10762,10409,10177,13144,13337,13273,13086,12556,11859,8937,8732,8650,8433,8560,8100,7992,7682,7322,7156,6975,6952,6865,7034,7183,7099,6965,7031,6806,6891,6860,6924,6925,6826,6874,6721,6382,6141,5933,5755,5478,5479,5388,5340,5298,5224,5154,5094,5040,4989,4948,4905,4874,4842,4818,4796,4782,4769
30,8742,9041,9549,9903,9341,9790,9472,10295,9768,10380,9590,9736,9919,9660,9391,9888,9324,9877,10484,11010,9457,9886,9766,9609,9817,10197,10939,11530,10969,11299,11116,11325,11260,11826,11719,12125,12242,12149,12291,12626,13339,13388,13921,14228,13984,14021,13433,13382,13526,12852,13432,13121,13335,13168,12866,12337,11800,11554,10747,10351,13420,13160,13423,13355,13016,12543,9220,8880,8696,8618,8404,8530,8076,7972,7664,7309,7146,6968,6947,6862,7029,7178,7096,6963,7030,6810,6893,6864,6927,6930,6831,6878,6725,6390,6149,5943,5765,5490,5490,5401,5353,5313,5239,5171,5111,5058,5008,4966,4924,4894,4862,4839,4817,4803
31,8426,8593,8975,9387,9778,9175,9775,9382,10217,9668,10238,9504,9636,9807,9587,9333,9834,9176,9660,10314,10832,9463,9905,9777,9622,9820,10191,10934,11461,10927,11170,11137,11324,11283,11835,11749,12113,12236,12126,12277,12717,13333,13360,13886,14151,13942,13930,13295,13289,13399,12725,13386,13127,13292,13119,12807,12404,11781,11502,10683,12754,13436,13198,13556,13320,12994,9341,9152,8841,8660,8586,8374,8500,8052,7950,7645,7295,7134,6961,6940,6857,7023,7172,7091,6961,7027,6812,6893,6865,6928,6932,6834,6879,6726,6395,6154,5950,5773,5499,5499,5411,5365,5325,5252,5184,5125,5073,5023,4983,4941,4911,4879,4856,4835
32,7736,8435,8748,8964,9293,9699,9236,9727,9316,10124,9392,10093,9425,9475,9745,9462,9159,9695,9127,9599,10130,10825,9467,9928,9786,9632,9825,10190,10928,11396,10881,11194,11147,11330,11301,11844,11746,12120,12230,12119,12385,12696,13318,13356,13848,14094,13861,13849,13174,13178,13251,12620,13214,12964,13085,12942,12759,12270,11592,11381,13276,12797,13450,13342,13520,13324,9700,9247,9113,8805,8627,8556,8346,8472,8030,7930,7628,7282,7124,6954,6934,6853,7018,7167,7087,6959,7025,6813,6894,6867,6930,6934,6837,6880,6728,6400,6160,5957,5780,5508,5507,5421,5376,5336,5264,5197,5139,5087,5038,4997,4956,4926,4895,4873
33,5523,7636,8418,8564,8874,9300,9743,9060,9579,9219,9912,9417,9972,9314,9414,9629,9370,8981,9603,8912,9380,10122,10810,9471,9953,9797,9645,9830,10184,10915,11314,10887,11220,11165,11329,11304,11840,11739,12112,12235,12208,12392,12680,13309,13316,13783,14043,13816,13776,13090,13047,13199,12571,13163,12894,13033,12963,12679,12136,11518,13137,13328,12862,13531,13311,13572,10098,9625,9210,9078,8772,8598,8530,8322,8447,8010,7913,7613,7271,7115,6948,6930,6851,7014,7164,7084,6957,7024,6816,6895,6870,6932,6937,6840,6882,6730,6405,6166,5965,5788,5517,5515,5431,5386,5347,5276,5210,5152,5101,5052,5012,4971,4942,4911
