ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,27980,28809,29093,30593,30459,30762,31055,31415,32800,33567,35373,37184,39010,41868,40829,40505,39335,38418,39240,38186,37341,38213,37894,37747,35440,32908,31115,29492,28292,27128,25368,26264,25545,25078,24426,23355,23525,24211,24016,24533,21943,24824,24029,23500,22417,22689,22541,22140,23046,22367,21946,23410,24495,25031,24437,25475,25098,27146,25489,25275,21957,23643,24607,25203,23905,25813,22741,22251,21422,21814,22120,22227,22384,22559,22764,22996,23018,23077,23123,23218,23295,23407,23517,23657,23789,23942,24075,24201,24312,24415,24478,24521,24550,24512,24455,24365,24212,24054,23897,23719,23530,23387,23266,23158,23081,23057,23013,22997,23013,23025,23045,23098,23111,23146
1,28585,27753,28620,29012,30580,30537,30658,30862,31674,32937,33546,35393,37079,38975,41817,40674,40471,39287,38252,39354,37982,37433,38209,37821,37637,35320,32827,30940,29510,27980,26499,25533,26239,25474,24981,24410,23332,23477,24058,23788,21918,22275,24749,23933,23376,22410,22613,22487,22123,22591,22253,22172,23560,24413,24958,24512,25519,25392,26626,25357,22306,22153,24062,24752,25286,24744,24357,23798,22363,21542,21932,22237,22344,22500,22672,22875,23104,23125,23184,23230,23324,23402,23512,23622,23762,23893,24044,24176,24301,24411,24512,24573,24615,24643,24603,24546,24454,24301,24141,23983,23804,23613,23469,23346,23237,23158,23132,23086,23069,23082,23092,23111,23162,23173
2,28917,28600,28143,28674,29085,30706,30827,30773,31352,32238,33122,33934,35595,37256,39106,41861,40681,40582,39385,38301,39719,38091,37586,38265,37805,37576,35255,32784,30810,29550,27708,26577,25726,26237,25434,24853,24434,23275,23495,23866,22044,22290,22433,24704,23800,23198,22369,22418,22201,21999,22162,22370,22405,23577,24494,24985,24621,25487,25394,26049,22139,22369,22464,24355,25035,26059,25115,24414,23880,22452,21637,22026,22331,22438,22592,22762,22963,23190,23211,23270,23316,23410,23487,23597,23707,23845,23976,24126,24256,24380,24489,24589,24649,24690,24716,24676,24617,24525,24371,24210,24050,23870,23678,23533,23409,23298,23218,23190,23143,23124,23135,23143,23160,23210
3,31695,29002,28888,28331,28807,29151,30919,30860,31153,31867,32627,33346,34258,35917,37396,39168,41870,40841,40746,39492,38364,39734,38205,37753,38319,37794,37523,35194,32741,30673,29600,27737,26660,25888,26252,25426,24798,24394,23258,23427,22397,22308,22400,22581,24637,23737,23052,22320,22264,22115,21909,22256,22570,22563,23609,24566,24987,24679,25560,25366,21925,22133,22741,22774,24506,25820,26593,25124,24480,23946,22525,21717,22105,22409,22515,22668,22836,23036,23261,23283,23342,23387,23482,23559,23669,23778,23915,24045,24194,24324,24446,24555,24654,24712,24752,24777,24736,24677,24584,24428,24266,24106,23924,23732,23585,23460,23348,23267,23237,23188,23167,23177,23184,23199
4,32021,31799,29290,29247,28544,28907,29314,31043,31487,31701,32159,32668,33464,34568,36149,37548,39434,42000,40772,40791,39633,38457,39750,38325,37926,38383,37782,37471,35139,32704,30555,29680,27786,26705,26088,26243,25409,24682,24406,23232,22096,22632,22381,22519,22743,24534,23636,22886,22291,22233,22008,22053,22415,22712,22722,23675,24677,24917,24674,25497,22077,21976,22536,23154,23065,25250,26790,26637,25179,24537,24004,22591,21789,22174,22478,22583,22735,22903,23101,23326,23348,23407,23453,23547,23624,23734,23842,23979,24107,24256,24385,24506,24613,24712,24769,24808,24833,24791,24731,24637,24480,24317,24155,23973,23780,23632,23506,23392,23310,23279,23228,23206,23214,23220
5,31655,32146,32060,29469,29404,28713,29078,29365,31513,32010,32089,32369,32946,33739,34963,36313,37729,39463,41994,40902,40958,39692,38550,39776,38442,38096,38450,37768,37418,35088,32694,30642,29799,27827,26737,26256,26271,25374,24631,24398,22049,22263,22704,22478,22701,22985,24420,23481,22714,22285,22164,22145,22280,22519,22867,22951,23855,24748,24853,24641,22184,22177,22384,22910,23410,23831,27183,26757,26684,25230,24592,24060,22653,21856,22240,22542,22648,22799,22966,23164,23388,23410,23470,23515,23609,23686,23795,23902,24039,24167,24315,24443,24563,24670,24767,24824,24862,24886,24843,24782,24687,24529,24365,24203,24020,23826,23677,23549,23435,23351,23319,23267,23243,23250
6,25028,31751,32394,32266,29729,29554,28875,29142,29584,31853,32373,32168,32592,32972,33792,35356,36626,37803,39713,42136,40929,41048,39752,38651,39804,38562,38269,38512,37762,37373,35060,32754,30776,29878,27878,26809,26395,26228,25364,24590,23277,22277,22312,22760,22613,22935,23244,24314,23362,22554,22269,22282,22316,22406,22698,23065,23301,23979,24735,24741,22253,22287,22543,22724,23150,24195,27124,27164,26803,26730,25281,24646,24116,22714,21921,22303,22605,22711,22862,23029,23226,23449,23472,23532,23577,23671,23748,23856,23963,24099,24226,24373,24500,24620,24726,24822,24878,24916,24939,24895,24833,24737,24578,24414,24251,24067,23871,23721,23593,23477,23392,23359,23306,23281
7,24776,25168,32113,32573,32532,29920,29870,29001,29385,29860,32269,32481,32423,32749,33158,33990,35805,36833,38036,39755,42197,41043,41136,39818,38746,39829,38680,38437,38577,37755,37348,35127,32824,30862,29966,27888,26865,26488,26225,25336,23612,23476,22311,22353,22857,22772,23219,23497,24219,23265,22497,22369,22428,22439,22658,22822,23425,23635,24002,24674,22558,22424,22610,22879,23012,23881,27719,27131,27213,26853,26780,25336,24704,24175,22777,21987,22369,22671,22777,22928,23094,23291,23514,23536,23597,23642,23736,23811,23919,24026,24161,24288,24434,24561,24680,24785,24880,24936,24973,24995,24950,24887,24790,24630,24465,24301,24116,23919,23768,23639,23522,23436,23402,23347
8,27465,24912,25351,32379,32909,32724,30154,29960,29360,29616,30113,32442,32624,32464,32855,33439,34198,36209,37117,38091,39992,42303,41166,41231,39883,38840,39860,38802,38610,38642,37794,37401,35260,32919,30974,29994,27927,26873,26667,26196,24429,23792,23561,22399,22423,23019,22973,23473,23753,24158,23223,22668,22577,22539,22691,22852,23145,23758,23835,24050,23256,22806,22707,22906,23162,23753,27365,27680,27184,27267,26908,26835,25395,24765,24237,22843,22057,22438,22739,22845,22997,23163,23359,23582,23605,23665,23710,23803,23878,23986,24092,24226,24352,24498,24624,24743,24847,24942,24997,25033,25053,25008,24944,24846,24685,24519,24354,24167,23970,23819,23688,23570,23483,23447
9,27254,27744,25336,25563,32663,33134,33041,30333,30522,29854,29845,30261,32497,32742,32703,32966,33526,34369,36609,37356,38271,40075,42400,41283,41323,39949,38937,39895,38924,38787,38745,37966,37496,35366,32971,31062,30078,27936,26922,26790,25419,24582,23860,23631,22492,22558,23205,23157,23755,24058,24178,23370,22865,22677,22722,22846,23241,23400,23986,24018,24193,23499,23038,22990,23130,23854,27267,27342,27736,27242,27325,26967,26896,25459,24831,24302,22913,22129,22510,22812,22918,23070,23236,23432,23654,23677,23736,23781,23874,23949,24056,24161,24295,24421,24566,24691,24809,24913,25007,25061,25096,25116,25069,25004,24905,24743,24576,24410,24223,24025,23872,23741,23622,23534
