ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,398977,399947,399884,413005,411796,413603,414516,412587,426566,429198,434563,446214,462076,489110,480970,472785,455626,447227,450250,431607,415538,423958,422518,422330,401632,384245,361762,344505,326601,312060,293998,305106,294221,287354,283923,270168,268870,277431,272891,276942,248552,277354,266660,258677,253857,258096,258674,255666,258707,259054,254738,260599,263416,271581,266590,269605,271328,276778,271583,266283,254470,260350,263000,270479,265162,269278,232955,227557,224264,225098,225965,225663,224984,224168,223649,223318,222853,222759,222532,222787,222879,223266,223595,224142,224544,225074,225363,225545,225573,225514,225091,224528,223878,222690,221428,219963,218047,216196,214466,212649,210806,209418,208244,207174,206344,205930,205306,204914,204795,204664,204628,204922,204889,205090
1,408314,389907,392351,393196,405644,405941,405400,407969,406076,419457,419518,430362,440582,456227,482897,474984,467394,450017,440315,443538,420009,416307,423019,421446,420802,400395,382096,359533,342823,324799,306064,294978,304067,293225,286271,282784,269412,267871,275248,271753,255186,251203,276723,265953,258026,253591,256424,255967,254461,258000,257271,256309,261552,264687,271346,266980,270428,271941,275583,270239,257775,257720,263151,266468,271258,268799,243570,235772,227737,224463,225314,226198,225910,225244,224440,223931,223611,223155,223071,222854,223113,223208,223597,223925,224475,224879,225407,225698,225881,225912,225852,225431,224867,224216,223025,221764,220299,218384,216531,214800,212982,211138,209750,208573,207499,206664,206247,205613,205219,205093,204953,204913,205197,205161
2,415512,405696,388421,390211,390192,403060,403180,403670,406398,403374,416151,420706,429246,438595,454139,479685,471073,464491,446692,435635,439365,421141,418314,423336,421258,420175,399894,380580,357817,341606,323355,306558,296659,303222,292267,285287,281594,268752,266839,272688,257770,257130,252722,276417,265405,257543,253479,255675,254294,253275,257541,259044,258128,262585,265755,271608,268071,271093,271906,274136,256350,259220,260539,265148,268157,273297,248741,243842,235989,227972,224714,225581,226477,226202,225547,224753,224253,223941,223495,223420,223207,223468,223565,223953,224284,224834,225236,225767,226058,226244,226274,226215,225793,225228,224575,223384,222122,220658,218741,216887,215155,213336,211492,210101,208920,207842,207004,206577,205941,205540,205405,205261,205212,205493
3,442263,413526,405024,387365,388097,388099,400513,401982,401165,404880,401737,414890,422352,428600,436826,452255,476865,468050,461212,443420,432139,440238,422403,420492,423747,421158,419647,399497,379142,356132,340558,322980,307040,298199,302468,291426,284424,280562,268171,265930,259784,259083,258407,254292,276063,264921,256950,253565,255042,252662,252053,258610,260633,259819,263621,266516,272347,268897,271417,271539,252793,257305,262484,263024,265925,269995,259955,248792,244091,236255,228254,225011,225890,226798,226532,225886,225101,224609,224307,223870,223798,223587,223849,223945,224335,224666,225215,225619,226150,226443,226629,226659,226600,226176,225609,224956,223765,222504,221038,219120,217265,215532,213712,211865,210470,209286,208204,207357,206928,206285,205875,205737,205584,205532
4,439491,441043,412773,404814,386743,386733,385664,399001,401348,400010,403108,400273,413366,424266,427751,435327,450703,474628,465060,458910,440616,433325,441160,423772,422742,424228,421113,419144,399141,377722,354642,341023,322639,307471,299619,301830,290683,283639,279661,267659,254547,261049,259963,259794,256374,275669,264305,256529,253600,254366,251095,253555,259762,262519,261642,264237,268025,272871,269084,271282,252471,253839,260109,265944,265457,267837,265221,259852,249072,244387,236566,228580,225349,226238,227156,226899,226261,225483,225000,224706,224272,224202,223992,224254,224352,224742,225072,225622,226026,226559,226852,227038,227068,227007,226581,226014,225361,224170,222907,221440,219521,217665,215931,214109,212258,210859,209671,208581,207731,207296,206644,206232,206084,205929
5,441205,438176,440644,411811,405003,385782,385061,383913,397844,400799,398033,402443,399027,412141,426129,427153,434181,448916,471788,462089,456311,441812,434515,442129,425142,424986,424745,421097,418667,398786,376364,355189,341444,322366,307874,300893,301241,290037,282963,278845,257606,255509,261932,260910,261637,259476,275153,263880,256127,253597,253739,252625,255300,261094,264515,263106,265836,269122,273014,269120,254037,253740,256865,262688,268410,267567,272107,264792,260162,249398,244727,236920,228945,225725,226623,227549,227299,226669,225899,225424,225133,224701,224632,224421,224685,224783,225172,225502,226053,226460,226992,227285,227470,227499,227436,227010,226443,225789,224597,223332,221865,219945,218087,216351,214525,212671,211269,210072,208979,208124,207680,207026,206604,206454
6,353395,440251,437120,439597,411391,404306,385351,383798,382922,396165,399256,396695,401001,398320,410900,428366,427050,432539,447005,469076,459308,457390,443009,435769,443115,426556,427260,425266,421088,418186,398536,376596,355695,341855,322102,308236,302106,300700,289408,282313,269742,258675,256079,262847,262152,264343,262772,274887,263498,255658,253680,255120,254407,257136,262548,266097,265379,266992,269696,272702,253730,255560,256590,260252,264763,270593,276604,271818,265131,260516,249766,245108,237312,229348,226136,227042,227975,227732,227110,226348,225875,225586,225154,225085,224876,225139,225236,225626,225957,226510,226916,227448,227741,227924,227951,227888,227461,226894,226239,225045,223780,222311,220391,218531,216791,214961,213103,211693,210495,209396,208532,208086,207423,206998
7,358445,352665,440257,436643,438926,410210,404247,385194,382893,381239,394879,397903,396017,399750,397373,409654,430521,426347,431388,445626,466877,460304,458484,444251,437009,444099,427968,429546,425802,421053,417894,399052,376796,356187,342222,321862,308598,303200,300211,288850,274275,270684,259488,256647,263981,264044,267293,266041,274669,263025,255374,254911,256633,256275,259180,263715,268648,267411,267634,270002,256493,255094,258100,259865,262756,266689,280244,276317,272186,265513,260911,250174,245526,237740,229784,226580,227493,228432,228197,227582,226822,226352,226063,225631,225563,225354,225616,225713,226104,226437,226989,227395,227927,228218,228399,228426,228362,227935,227367,226711,225516,224250,222780,220857,218994,217250,215417,213551,212139,210935,209828,208962,208507,207841
8,373428,357542,351900,439293,435710,437928,409929,404330,384831,381855,379242,393760,396073,395487,398529,396026,408581,432679,425974,429954,444098,467969,461347,459586,445530,438272,445125,429410,431850,426312,421219,418754,399651,377025,356725,342656,321599,308982,304418,299665,281761,275219,271390,260391,257386,265713,266174,270156,269050,274342,262680,256836,256203,258271,258474,260810,265857,270696,268791,267968,263354,258187,257268,260833,262271,264769,278398,279953,276712,272594,265934,261344,250618,245979,238201,230253,227055,227974,228920,228692,228079,227322,226852,226562,226131,226063,225852,226115,226214,226606,226938,227491,227896,228426,228715,228896,228922,228858,228430,227860,227204,226008,224741,223269,221342,219475,217728,215888,214020,212602,211390,210281,209407,208949
9,377369,372381,357515,351278,438794,434634,437050,408874,404821,384905,380088,377841,392776,394518,394950,397073,395347,407404,434985,425601,428476,444855,469107,462397,460717,446809,439551,446161,430856,434141,426934,422107,419503,400189,377237,357207,343022,321386,309331,305504,293124,282519,275853,272202,261528,258519,267637,268147,272949,272245,274149,264109,258427,257749,260238,260198,263445,267618,272298,269968,274674,265311,260596,259965,263479,264390,277902,278216,280374,277146,273040,266392,261812,251094,246463,238692,230750,227559,228485,229438,229212,228600,227843,227372,227084,226653,226583,226374,226637,226737,227129,227461,228013,228416,228945,229234,229414,229440,229374,228945,228375,227717,226521,225252,223776,221845,219975,218221,216378,214505,213080,211865,210748,209871
