ETA,IT,ITC1,ITC2
0,310735,19081,451
1,323094,19969,544
2,340880,21222,536
3,359940,22824,675
4,374037,24304,607
5,397291,25806,622
6,419612,27960,705
7,440453,29398,761
8,442133,30003,741
9,450190,30613,788
10,458573,31553,782
11,454866,30989,820
12,469932,32214,832
13,464940,32175,815
14,471142,32261,815
15,484971,33437,874
16,486643,33454,837
17,496398,34232,920
18,467986,32216,857
19,451509,31134,765
20,448329,31640,840
21,432934,31078,760
22,423436,31235,838
23,403937,30541,806
24,402059,30766,785
25,396981,30610,816
26,389818,30407,781
27,386225,30277,818
28,372196,29845,873
29,369973,30425,808
30,372822,30052,864
31,389293,31703,878
32,395364,32373,898
33,417245,34651,955
34,412023,34494,946
35,417847,33985,866
36,325223,26478,650
37,337622,28531,791
38,344352,28681,843
39,345859,29401,892
40,350974,30241,838
41,389270,33797,897
42,388231,33885,873
43,381492,34124,864
44,358185,31997,806
45,344370,30773,753
46,356281,31521,782
47,351745,30896,730
48,350346,30334,770
49,342869,30524,813
50,351188,31260,798
51,368249,32663,837
52,341807,30241,802
53,342315,30136,765
54,342033,29219,699
55,335393,28318,752
56,329452,27570,663
57,323892,26731,671
58,320006,26550,687
59,306432,25919,650
60,301210,25107,644
61,299777,24539,602
62,195010,15400,419
63,148691,11994,343
64,157463,12848,338
65,192998,16049,429
66,238999,20704,549
67,242922,21085,539
68,241004,20774,531
69,235304,20708,479
70,211681,18662,488
71,209861,18134,432
72,187963,17160,398
73,176670,16531,411
74,151797,14355,322
75,140536,13193,290
76,125969,11872,264
77,112004,10910,229
78,94863,9140,179
79,88714,8717,186
80,73785,7213,143
81,64619,6322,124
82,55441,5435,105
83,46260,4543,86
84,37089,3652,68
85,30271,2981,60
86,25263,2493,51
87,20277,2003,42
88,15274,1516,33
89,10276,1027,23
90,15370,1789,73
91,5892,512,5
92,4102,347,3
93,2769,224,1
94,1732,130,1
95,1038,77,0
96,572,44,0
97,306,23,0
98,146,10,0
99,72,5,0
100,45,3,0
