ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,48498,48906,48818,51789,52297,51505,51500,50825,51673,52832,50749,50990,50711,52007,50173,50252,49369,47898,48148,45450,43181,44394,44344,45169,43921,43112,40768,39846,39102,37966,33997,37279,36038,36047,36055,34819,34918,34973,35206,34712,28785,34973,32788,30975,29442,29404,28852,27662,27352,26517,25614,25944,26281,26344,25822,25674,24864,25213,24592,23786,25492,25903,26162,26134,25547,25592,22098,21053,21437,21633,21722,21691,21678,21433,21191,20949,20693,20452,20183,19948,19693,19467,19242,19046,18850,18678,18501,18331,18166,18009,17839,17674,17519,17339,17170,16999,16804,16625,16461,16295,16129,15995,15875,15756,15648,15563,15451,15346,15251,15147,15043,14958,14846,14748
1,49002,46947,47527,47541,50255,50972,50015,50217,49402,50406,49762,49421,49687,49541,50723,48863,48906,47846,46396,46330,43035,43049,44102,44007,44775,43523,42674,40168,39157,38533,35918,34098,36984,35679,35587,35431,34312,34144,34081,33843,29915,29021,34723,32406,30585,29078,28716,28050,26953,26614,25623,25589,25875,26126,26255,25749,25622,24698,25033,24389,25600,25471,26041,26001,26296,25871,22880,22103,21041,21419,21613,21702,21670,21656,21413,21173,20934,20680,20442,20177,19944,19692,19469,19246,19053,18859,18690,18515,18348,18185,18030,17862,17699,17546,17367,17199,17029,16836,16657,16495,16330,16164,16031,15911,15794,15687,15602,15490,15386,15293,15189,15086,15002,14891
2,49808,48497,46483,46952,46921,49553,50413,49175,49486,48731,49072,49635,48692,48859,48702,49906,47984,47829,46717,45213,44750,43058,43158,44008,43830,44524,43238,42350,39686,38543,38014,35939,34397,36678,35275,35107,34711,33705,33293,33090,30905,30075,29242,34495,32029,30216,28807,28206,27545,26313,26284,25592,25615,25798,26029,26138,25720,25522,24625,24899,26191,25550,25657,25836,26010,26361,22576,22776,22104,21044,21418,21610,21697,21665,21651,21410,21172,20935,20683,20447,20184,19954,19705,19483,19263,19072,18880,18712,18540,18375,18214,18062,17895,17734,17582,17405,17238,17069,16876,16699,16537,16372,16207,16075,15956,15839,15732,15648,15537,15433,15340,15237,15135,15052
3,52257,49314,48163,46151,46578,46331,48897,49919,48572,48975,47554,48302,49503,48071,48184,48041,49181,47228,46664,45609,43974,44791,43112,43279,43938,43665,44283,42969,42037,39206,37954,37786,36021,34635,36339,34890,34605,34032,33095,32558,30940,31028,30253,29408,34081,31590,29858,28519,27812,26948,25843,26232,25646,25665,25808,25956,26129,25709,25494,24556,25905,26103,25782,25747,25895,26081,23563,22386,22787,22115,21057,21426,21616,21703,21671,21657,21417,21181,20946,20696,20462,20201,19973,19725,19506,19288,19098,18908,18743,18572,18410,18251,18100,17935,17775,17624,17448,17282,17114,16922,16745,16584,16420,16255,16124,16005,15888,15782,15698,15587,15484,15391,15289,15187
4,52327,51895,48973,47973,45945,46136,45754,48317,49462,47959,47969,47002,47602,49390,47389,47490,47323,48390,46442,45631,44471,43988,44851,43181,43412,43868,43505,44054,42706,41729,38720,37920,37673,36021,34870,36058,34501,34172,33375,32613,30657,31037,31128,30398,29738,33650,31150,29523,28281,27325,26463,25897,26228,25701,25727,25774,25958,26132,25681,25489,26594,25911,26360,25913,25922,25908,23814,23438,22409,22805,22132,21075,21440,21629,21716,21685,21670,21432,21197,20964,20715,20483,20223,19997,19751,19533,19317,19129,18941,18778,18609,18448,18291,18141,17978,17819,17669,17494,17329,17162,16971,16794,16633,16470,16306,16175,16056,15939,15833,15749,15639,15536,15443,15342
5,47830,51777,51594,48746,47843,44585,45699,45251,47800,49035,46877,47404,46383,47021,49314,46757,46778,46712,47637,45480,44597,44473,44005,44903,43250,43550,43813,43350,43826,42440,41384,38677,37965,37517,36020,35022,35724,34173,33770,32832,31062,30705,31140,31233,30658,30033,33220,30808,29230,28004,26982,26472,25965,26224,25829,25792,25787,25944,26189,25721,27022,26653,26211,26559,26085,25892,24124,23692,23465,22436,22827,22153,21096,21458,21647,21734,21703,21688,21451,21217,20985,20738,20507,20249,20024,19780,19563,19348,19163,18977,18815,18648,18489,18333,18185,18022,17864,17716,17542,17377,17211,17020,16844,16684,16521,16357,16226,16108,15991,15885,15801,15690,15588,15496
6,42114,47264,51638,51311,48294,47454,45321,45334,44857,47211,48259,46269,46686,45763,46257,49156,46161,46198,45978,46922,44726,44598,44480,44031,44967,43315,43688,43751,43197,43601,42154,41201,38656,37926,37336,36037,35140,35409,33825,33376,31544,31180,30744,31228,31368,30909,30544,32802,30434,28912,27802,27036,26571,26059,26236,25923,25981,25754,25956,26171,27824,27109,26883,26482,26452,26122,24835,24093,23722,23493,22463,22850,22175,21119,21478,21667,21754,21724,21709,21473,21240,21009,20763,20533,20277,20053,19810,19595,19382,19198,19014,18854,18688,18530,18375,18229,18067,17911,17763,17590,17426,17260,17070,16895,16735,16572,16408,16277,16159,16042,15936,15852,15741,15639
7,40041,41582,47120,51174,50883,48043,47342,44965,44964,44367,46171,47457,45747,46016,45333,45575,49244,45627,45514,45303,46167,44654,44596,44486,44057,45027,43386,43820,43697,43044,43362,42023,41050,38613,37868,37185,36014,35287,35102,33509,32298,31615,31267,30816,31360,31462,31279,30961,32489,30061,28671,27817,27147,26687,26169,26271,26068,26124,25796,25924,28773,27879,27369,27034,26659,26441,25288,24820,24124,23751,23520,22491,22873,22198,21143,21500,21689,21776,21746,21731,21496,21264,21034,20789,20560,20305,20082,19840,19627,19415,19233,19051,18892,18728,18571,18418,18272,18112,17956,17809,17637,17474,17308,17119,16944,16784,16621,16457,16327,16208,16091,15985,15901,15791
8,40007,39561,41367,46800,50784,50622,47582,47092,44724,44626,43578,45644,46654,44993,45422,44701,44854,49051,45000,44780,44631,46089,44587,44601,44499,44079,45094,43451,43962,43649,42886,43169,41925,40927,38536,37802,36981,35992,35373,34812,32549,32383,31679,31342,30859,31486,31616,31575,31261,32078,29816,28646,27833,27207,26747,26226,26352,26213,26266,25855,29914,28912,28138,27497,27131,26631,24986,25362,24850,24156,23781,23548,22518,22896,22221,21167,21523,21712,21799,21769,21754,21520,21289,21059,20815,20587,20333,20111,19871,19659,19449,19269,19088,18930,18768,18612,18460,18315,18156,18001,17855,17683,17521,17356,17167,16992,16833,16670,16506,16375,16256,16139,16033,15949
9,39641,39563,39372,41018,46424,50453,50167,47275,46897,44454,44022,42909,44862,45962,44386,44715,44225,44321,49011,44369,44090,44508,46006,44527,44604,44506,44109,45161,43520,44112,43584,42786,43048,41819,40746,38444,37723,36799,35920,35431,33875,32585,32418,31737,31463,30883,31699,31726,31805,31626,31793,29849,28704,27859,27240,26820,26380,26452,26358,26363,31853,30022,29111,28182,27590,27121,25892,24947,25391,24880,24186,23809,23575,22544,22920,22245,21192,21546,21735,21823,21792,21778,21544,21314,21085,20842,20615,20361,20141,19902,19692,19483,19304,19124,18968,18807,18652,18501,18357,18199,18045,17900,17729,17568,17403,17214,17039,16880,16717,16553,16421,16302,16185,16079
