ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,418500,418434,419220,429377,430579,432385,433681,431999,448554,450781,455435,466261,483897,513355,504321,495264,476918,469279,471440,455068,440773,448781,445318,445601,424047,406750,381774,363969,345051,330327,310735,321821,311555,303502,299154,286270,285818,294164,288910,292425,262256,293100,281875,274171,269122,273472,273404,270959,272792,274518,268267,274839,278291,286322,283649,286202,287891,291773,287649,282221,267551,273103,277183,284472,281997,285688,246656,240100,238530,239406,240316,239983,239250,238373,237811,237450,236946,236836,236585,236845,236934,237337,237678,238251,238671,239226,239526,239712,239735,239667,239212,238609,237913,236646,235300,233741,231704,229735,227896,225965,224007,222532,221284,220147,219263,218823,218159,217742,217614,217475,217435,217746,217710,217923
1,430155,408306,409131,411559,420985,423230,423552,425932,424618,440832,438967,449887,460347,478433,507152,497787,489900,470851,463698,464042,444534,441046,447595,443888,443952,422493,404243,379355,362300,342782,323094,311328,320216,310140,301968,297482,284969,284000,291257,286125,267914,264589,292378,280911,273119,268728,271549,270301,269376,271686,271974,269702,275726,279519,286257,284033,287156,288161,290245,285931,272478,270196,275465,280777,285961,286085,257109,249511,241086,239511,240383,241287,240946,240206,239320,238747,238376,237860,237738,237475,237720,237793,238180,238504,239064,239470,240010,240295,240469,240484,240403,239938,239323,238616,237334,235983,234418,232375,230400,228557,226622,224660,223182,221929,220785,219895,219449,218773,218351,218215,218063,218018,218317,218277
2,436346,427142,406655,406119,408374,417816,420252,420813,423970,422039,437574,440451,449308,458546,475786,503993,494313,487227,467434,460647,458891,445330,442793,447756,443506,443266,421836,402444,377519,361085,340880,323215,312589,318720,308689,300403,295691,283657,282003,287855,270613,270215,266124,291954,280284,272417,268475,270552,268321,268009,270631,273695,271783,276848,280728,286512,285277,287923,288058,288905,269327,274085,274024,277981,282708,288438,263019,258236,250502,242071,240493,241358,242253,241905,241154,240258,239675,239291,238763,238629,238350,238579,238637,239007,239317,239863,240254,240779,241053,241217,241220,241129,240653,240026,239304,238017,236659,235088,233040,231061,229213,227275,225310,223828,222567,221417,220521,220063,219382,218951,218803,218646,218588,218884
3,465504,433619,426345,405471,403752,406012,414690,418455,418796,422198,419233,435705,443218,448881,456648,474103,501817,491343,484153,464133,457870,459851,446280,444696,448019,443240,442670,421266,400753,375755,359940,340058,323340,313772,317406,307433,299012,294100,282503,280235,273681,271914,271628,267907,291372,279718,271667,268351,269711,266437,266702,271945,275782,273928,278129,281678,287552,286476,288199,287787,267498,270879,277746,277549,279183,284817,274935,262951,259229,251489,243055,241470,242326,243213,242855,242094,241187,240591,240195,239655,239505,239212,239425,239466,239822,240119,240649,241026,241540,241804,241956,241949,241846,241358,240717,239990,238696,237332,235756,233703,231720,229868,227927,225958,224468,223202,222046,221139,220676,219986,219543,219390,219221,219159
4,461786,463046,432664,426257,404552,401870,403123,412978,417323,416838,420355,419000,434946,444950,448456,455413,472116,499553,488679,481995,461663,458484,460912,447345,446630,448322,443006,442122,420738,399072,374037,359687,339314,323496,314831,316230,306284,297766,292690,281488,267722,275090,272863,273160,270243,290732,278860,271017,268274,268841,264789,268442,273495,277983,276100,278873,283412,288375,286963,288157,266366,269454,274338,281594,280041,281577,280787,274842,263949,260220,252477,244037,242443,243291,244168,243799,243028,242108,241500,241092,240536,240371,240062,240259,240286,240629,240910,241427,241791,242296,242548,242691,242672,242557,242056,241409,240675,239375,238006,236425,234368,232381,230527,228581,226605,225109,223837,222669,221758,221286,220584,220136,219971,219798
5,461935,459397,461886,431436,425258,402772,410372,401618,411153,415665,414533,419059,417560,433195,447417,448216,453861,470602,497175,484684,479783,462576,459155,462023,448397,448595,448677,442794,441608,420224,397291,373806,359477,338645,323632,315794,315190,305279,296662,291416,270798,268585,276125,273918,275334,273657,290059,278324,270494,268120,268104,266673,270436,275159,280324,277776,280721,284716,288450,286978,268629,268506,272932,277416,284193,282490,288877,280570,275847,264948,261216,253466,245018,243415,244253,245119,244740,243955,243024,242403,241980,241410,241229,240903,241087,241101,241428,241696,242200,242556,243049,243291,243422,243391,243264,242756,242103,241363,240058,238684,237099,235038,233049,231190,229237,227254,225753,224470,223298,222377,221894,221188,220729,220559
6,371349,459328,458927,460695,430072,424929,398623,397944,399641,409311,414157,412914,417650,416386,432051,449891,448442,453021,469467,494676,482474,480275,463486,459889,463134,449480,450594,449045,442617,441089,419612,396443,373582,359266,338043,323783,316692,314205,304350,295628,281702,272056,269269,277167,275287,278264,277272,289596,277828,269896,268064,269763,268896,272827,276859,282150,280583,282094,285399,288263,268488,271038,271901,276744,279203,286717,293468,288620,281586,276857,265954,262215,254456,246000,244387,245214,246070,245677,244881,243937,243302,242863,242278,242081,241742,241912,241911,242225,242481,242977,243321,243804,244035,244154,244110,243977,243462,242803,242058,240748,239371,237782,235718,233724,231858,229899,227911,226400,225112,223931,222999,222511,221794,221331
7,375647,368423,459174,457290,459292,429795,421427,402312,396568,397771,407350,412899,412276,416340,415392,430869,452258,448445,451636,467607,492474,482916,480808,464456,460635,464274,450546,452587,449459,442406,440453,418986,395683,373389,359093,337475,323901,317533,313309,303494,286983,282668,272963,269983,278499,277396,281425,280841,289156,277278,269478,269596,271604,271141,275206,278220,285031,282972,282891,285879,270826,270687,273982,275388,279333,281576,295862,293062,289651,282611,277877,266968,263220,255452,246987,245363,246179,247021,246617,245809,244850,244200,243746,243145,242935,242583,242738,242724,243026,243273,243757,244091,244563,244782,244889,244839,244699,244179,243515,242765,241451,240070,238478,236410,234409,232537,230573,228574,227057,225761,224570,223633,223135,222413
8,389689,374621,367882,457626,456498,457975,424758,424125,401416,394969,396337,406259,411043,411273,415378,414303,429390,454630,448521,450188,465794,492915,483365,481340,465432,461374,465441,451645,454612,449863,442133,439687,418382,394929,373198,358911,336918,324036,318378,312392,295917,287935,283481,273862,270912,280479,279695,284385,284236,288717,276891,271109,271262,273428,273738,277065,280575,287388,284693,283381,277756,273177,273522,276760,278265,281771,295281,295843,294114,290697,283652,278911,267993,264235,256458,247982,246348,247150,247980,247564,246740,245767,245102,244632,244018,243795,243428,243570,243544,243838,244073,244547,244871,245331,245538,245638,245582,245436,244911,244242,243488,242171,240786,239190,237115,235107,233231,231256,229253,227728,226422,225225,224278,223776
9,392219,387711,374416,366043,457059,455586,456484,427735,424057,400994,393713,395125,405331,409839,410221,414496,413611,428854,457065,447999,448624,466103,493370,483824,481891,466413,462111,466605,452751,456604,450190,441545,439018,417854,394284,373035,358752,336448,324138,319078,305422,296877,288683,284348,275101,272273,282659,281842,287390,287799,288467,278498,272994,273193,275705,275699,279872,282725,289474,286107,289393,280265,275842,276418,279070,280566,295977,295154,296922,295186,291764,284712,279961,269034,265266,257478,248991,247343,248134,248951,248520,247681,246693,246012,245530,244903,244665,244285,244416,244381,244663,244888,245352,245664,246112,246312,246406,246344,246193,245663,244990,244233,242912,241523,239920,237839,235827,233940,231961,229949,228415,227104,225897,224946
