ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,29648,30375,30368,31744,32221,31973,32826,33115,34533,35307,37379,38789,40918,43826,43229,42767,41013,40149,41045,40825,40080,40066,39881,39322,37506,34595,33281,31163,29744,28155,26858,27600,27147,26211,25301,24604,24771,25664,25484,25666,23036,26233,25445,24656,23853,24062,23609,23397,24549,23810,23241,24807,25707,26409,25985,27081,26903,28142,27337,26660,23101,24328,25660,26523,25403,27526,23707,23522,22762,23178,23503,23615,23782,23968,24186,24433,24457,24520,24567,24667,24749,24866,24983,25131,25270,25432,25573,25707,25826,25935,26001,26048,26078,26038,25978,25882,25720,25552,25386,25198,24997,24846,24718,24604,24522,24496,24450,24433,24450,24463,24484,24541,24554,24591
1,30181,29303,30151,30293,31564,32164,32037,32688,33114,34586,35133,37295,38619,40815,43710,43073,42801,40930,40220,40890,40512,40067,39995,39801,39217,37325,34510,33099,31179,29398,27433,26966,27614,27111,26159,25280,24568,24638,25486,25188,23289,23405,26196,25328,24555,23843,23971,23487,23380,24047,23694,23421,24880,25655,26362,26014,27111,27101,27529,27077,23700,23197,24427,25971,26628,26429,25226,24785,23675,22924,23339,23662,23773,23939,24122,24339,24583,24605,24665,24711,24809,24889,25004,25118,25263,25401,25561,25701,25834,25951,26059,26123,26168,26197,26155,26094,25997,25835,25666,25500,25311,25110,24958,24830,24714,24631,24603,24555,24536,24551,24561,24581,24635,24647
2,30361,30285,29526,30202,30413,31705,32384,32198,32924,33639,34894,35510,37619,38767,40979,43779,43102,42923,41005,40392,40971,40533,40151,40017,39795,39164,37205,34468,32928,31223,29091,27501,27133,27540,27035,26106,25308,24467,24555,25269,23325,23773,23512,26156,25211,24401,23821,23835,23218,23261,23415,23831,23594,24879,25644,26358,26096,27040,27164,27074,23344,23792,23474,24709,26191,27649,26590,26146,24915,23810,23067,23479,23801,23912,24076,24258,24473,24714,24733,24792,24836,24932,25010,25123,25235,25379,25515,25674,25813,25944,26060,26167,26230,26274,26301,26258,26196,26099,25936,25767,25600,25411,25210,25058,24928,24811,24726,24697,24646,24626,24638,24647,24665,24718
3,33235,30365,30646,29558,30388,30584,31850,32467,32512,33308,33971,34963,35863,37938,38893,41145,43949,43189,43079,41062,40648,41030,40564,40238,40042,39792,39114,37095,34429,32772,31268,29145,27621,27258,27550,27000,26086,25221,24452,24406,23648,23644,23846,23628,26079,25095,24250,23790,23675,23142,23188,23583,24047,23779,24962,25731,26464,26194,27062,27160,23229,23437,24166,23919,24737,27233,27849,26566,26257,25032,23932,23195,23605,23926,24037,24200,24381,24593,24830,24849,24906,24948,25043,25119,25230,25340,25483,25618,25776,25914,26044,26159,26265,26327,26369,26396,26352,26290,26191,26028,25859,25692,25503,25302,25149,25017,24899,24812,24781,24729,24707,24718,24725,24740
4,33966,33320,30734,30907,29847,30495,30711,32045,32749,32845,33594,34122,35162,36292,38089,39031,41251,44029,43349,43250,41162,40669,41085,40607,40317,40071,39794,39072,36986,34390,32639,31337,29184,27717,27407,27514,26978,26002,25252,24389,22935,23928,23725,24026,23804,25987,24867,24091,23762,23589,23018,23346,23734,24172,23985,25003,25856,26423,26200,26888,23060,23360,23804,24669,24163,25748,28297,27889,26669,26363,25144,24048,23316,23724,24045,24156,24318,24496,24705,24940,24957,25013,25054,25146,25221,25330,25439,25582,25716,25874,26011,26140,26254,26358,26419,26460,26486,26442,26379,26280,26117,25948,25781,25592,25389,25235,25102,24982,24894,24862,24808,24784,24793,24798
5,32622,34114,33621,30941,31057,30099,30559,30886,32173,32993,33071,33654,34326,35422,36696,38428,39241,41454,44115,43278,43445,41202,40696,41150,40645,40410,40097,39801,39028,36877,34356,32724,31396,29200,27765,27504,27493,26940,25956,25210,23127,23160,23984,23826,24196,24019,25905,24757,23988,23775,23515,23187,23552,23879,24396,24213,25173,25912,26358,26154,23516,23199,23738,24186,24902,25154,28744,28249,27987,26771,26467,25252,24160,23433,23840,24160,24271,24431,24607,24813,25046,25061,25116,25155,25246,25319,25428,25537,25678,25812,25969,26105,26233,26346,26449,26509,26550,26575,26531,26467,26368,26204,26035,25868,25678,25475,25319,25185,25063,24974,24940,24885,24860,24867
6,26067,32694,34356,33823,31235,31479,30294,30775,31025,32447,33209,33171,33900,34542,35488,37119,38697,39406,41583,44152,43430,43453,41242,40729,41217,40690,40510,40131,39811,38985,36774,34364,32799,31425,29274,27851,27653,27441,26937,25920,24104,23365,23223,24084,23961,24434,24271,25812,24615,23861,23800,23660,23415,23711,24066,24627,24631,25348,25954,26245,23843,23726,23557,24163,24366,25922,29017,28701,28346,28086,26873,26571,25360,24271,23549,23955,24274,24384,24542,24716,24920,25150,25164,25218,25255,25345,25418,25526,25634,25775,25909,26064,26199,26327,26439,26541,26600,26641,26665,26620,26557,26458,26294,26124,25956,25764,25560,25403,25268,25145,25055,25019,24962,24936
7,26401,26090,33006,34647,34018,31514,31654,30511,30938,31195,32640,33401,33360,34086,34686,35667,37361,38988,39460,41802,44361,43467,43467,41286,40765,41284,40732,40600,40160,39814,38939,36816,34391,32867,31461,29288,27910,27724,27406,26928,24940,24314,23445,23291,24188,24197,24677,24489,25727,24526,23785,23975,23841,23578,23961,24186,25028,24965,25396,25937,23875,24096,24030,24006,24383,25360,28862,29039,28800,28447,28189,26978,26677,25470,24384,23666,24071,24388,24497,24653,24825,25027,25255,25268,25320,25357,25446,25518,25626,25734,25874,26007,26162,26296,26422,26533,26635,26694,26734,26758,26713,26649,26550,26385,26215,26045,25853,25647,25489,25353,25228,25137,25100,25042
8,28214,26574,26278,33200,34868,34284,31736,32005,30718,31148,31296,32692,33519,33632,34230,34767,35911,37849,39249,39698,41982,44405,43514,43485,41334,40795,41350,40776,40698,40195,39844,38951,36881,34398,32955,31464,29290,27939,27807,27383,26111,25155,24365,23547,23395,24371,24396,24921,24709,25672,24415,23980,24143,24030,23859,24147,24477,25378,25195,25406,24486,24178,24396,24322,24243,25350,29294,28886,29140,28905,28553,28295,27087,26787,25583,24500,23786,24188,24504,24611,24766,24936,25137,25362,25374,25425,25461,25550,25622,25729,25836,25976,26108,26262,26395,26521,26632,26733,26791,26830,26854,26809,26744,26645,26479,26308,26137,25943,25737,25577,25440,25315,25221,25183
9,28285,28310,26893,26494,33544,35195,34539,31904,32266,30908,31163,31471,32931,33608,33849,34425,35033,35994,38183,39478,39846,42009,44447,43560,43504,41381,40828,41417,40820,40791,40245,39844,39004,36909,34481,33023,31518,29307,28003,27903,26580,26309,25217,24464,23677,23533,24564,24597,25192,24950,25604,24575,24148,24255,24268,24031,24526,24738,25621,25430,25694,24809,24369,24642,24566,25210,28875,29285,28992,29247,29015,28663,28406,27199,26901,25700,24620,23908,24308,24622,24728,24882,25050,25248,25472,25483,25533,25569,25658,25729,25836,25942,26081,26212,26366,26499,26624,26734,26834,26892,26931,26955,26909,26844,26743,26576,26404,26232,26037,25829,25669,25530,25404,25309
10,28911,28410,28597,27135,26623,33756,35432,34789,32193,32648,31141,31425,31581,33067,33762,33933,34553,35211,36208,38628,39836,39924,42044,44492,43603,43523,41431,40861,41492,40871,40908,40303,39901,39022,36944,34498,33053,31515,29356,28017,27243,26814,26365,25287,24562,23857,23661,24706,24803,25515,25202,25748,24757,24336,24495,24458,24364,24894,24966,25891,25208,26008,25000,24636,24903,25486,27979,28891,29393,29104,29361,29129,28778,28521,27317,27020,25822,24743,24032,24431,24743,24848,25000,25167,25363,25586,25596,25646,25681,25769,25840,25946,26052,26190,26321,26474,26606,26730,26840,26940,26997,27036,27059,27013,26947,26845,26677,26503,26330,26134,25925,25764,25624,25496
