ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,20291,20182,19859,20270,20226,20409,20446,20694,21597,21734,22236,22676,23789,25532,25180,24676,23673,23274,23411,23349,22840,23328,22975,22679,21365,19802,18344,17706,16380,15386,14611,14612,14069,13645,13661,12782,12898,13590,13055,13712,12564,13395,13206,12826,12941,13081,13624,13709,13932,14227,14164,15071,14951,16206,16115,16105,16636,17192,16499,16396,14142,15022,14942,16139,15971,15969,14043,13674,13784,13867,13836,13882,13825,13803,13803,13833,13870,13938,14000,14098,14189,14299,14405,14526,14636,14755,14857,14951,15034,15109,15159,15197,15227,15218,15201,15167,15099,15031,14967,14891,14808,14752,14707,14666,14639,14640,14627,14632,14658,14687,14727,14794,14840,14907
1,20962,20142,20007,19775,20179,20081,20265,20287,20605,21518,21452,22173,22726,23850,25425,25245,24663,23648,23166,23417,22950,22971,23365,23006,22686,21384,19837,18413,17770,16428,15301,14701,14611,14101,13702,13721,12866,12980,13627,13177,13106,12809,13485,13206,12847,13017,13140,13634,13777,13992,14220,14319,15198,15127,16221,16170,16228,16752,17184,16456,14244,14385,15289,15236,16019,16301,14893,14191,13824,13929,14008,13976,14019,13961,13936,13934,13961,13996,14060,14120,14215,14302,14408,14511,14628,14735,14849,14948,15040,15120,15193,15240,15276,15304,15293,15273,15237,15167,15097,15030,14953,14868,14810,14763,14720,14693,14693,14679,14683,14708,14736,14775,14840,14886
2,22426,20967,20058,20023,19652,20130,20065,20295,20271,20549,21510,21669,22263,22722,23834,25374,25117,24702,23493,23191,23337,23081,23137,23442,23067,22715,21425,19886,18491,17839,16498,15344,14787,14624,14201,13742,13778,12947,13046,13663,12794,13316,12919,13533,13256,12973,13102,13225,13666,13845,14083,14383,14491,15316,15275,16233,16341,16363,16835,17078,13985,14331,14647,15551,15549,16173,15271,14943,14335,13963,14063,14140,14107,14148,14087,14060,14055,14080,14112,14174,14231,14323,14406,14509,14608,14721,14825,14936,15032,15122,15201,15271,15316,15350,15375,15361,15340,15302,15230,15157,15089,15009,14923,14863,14815,14772,14743,14743,14728,14731,14755,14782,14819,14884
3,25020,22434,21024,20248,20004,19733,20087,20103,20285,20341,20486,21520,22035,22373,22660,23786,25381,25059,24763,23353,23249,23476,23208,23299,23521,23128,22743,21468,19937,18569,17912,16525,15352,14878,14669,14234,13754,13820,13008,13112,13254,12898,13405,13010,13592,13340,13076,13205,13315,13692,13932,14191,14587,14710,15423,15384,16315,16447,16475,16873,13929,14099,14689,14970,15578,15692,15974,15296,15080,14470,14094,14190,14265,14231,14269,14206,14177,14170,14192,14222,14281,14335,14423,14503,14603,14698,14808,14908,15018,15112,15200,15276,15344,15387,15419,15442,15426,15403,15363,15289,15215,15144,15063,14975,14914,14865,14821,14792,14791,14775,14777,14800,14826,14863
4,25486,25023,22271,21146,20220,19886,19722,20142,20066,20253,20342,20454,21609,22213,22528,22688,23843,25377,25073,24773,23359,23360,23616,23341,23468,23597,23191,22772,21515,19992,18662,17938,16580,15411,14998,14690,14260,13772,13885,13084,12730,13347,12968,13501,13133,13681,13376,13158,13300,13376,13735,14116,14376,14797,14866,15541,15580,16377,16514,16488,13795,14082,14469,14944,15183,15762,16314,16011,15428,15209,14597,14219,14311,14384,14349,14384,14319,14288,14279,14299,14326,14382,14433,14518,14594,14691,14783,14890,14988,15095,15188,15274,15348,15414,15455,15484,15506,15488,15463,15421,15345,15269,15197,15114,15025,14964,14914,14869,14839,14837,14820,14822,14844,14870
5,26206,25507,24978,22424,21138,20174,19922,19689,20084,20057,20327,20311,20559,21593,22484,22469,22749,23790,25402,24971,24895,23492,23477,23759,23472,23640,23674,23252,22805,21565,20055,18711,17992,16589,15474,15092,14729,14305,13795,13943,12786,12828,13423,13048,13604,13304,13749,13442,13222,13390,13447,13893,14325,14518,15022,15009,15676,15753,16430,16554,13502,13971,14431,14672,15302,15387,16827,16339,16141,15555,15333,14720,14339,14428,14499,14462,14494,14428,14394,14384,14402,14426,14479,14526,14608,14682,14775,14864,14969,15065,15171,15261,15345,15417,15482,15520,15548,15568,15548,15521,15478,15400,15323,15249,15165,15075,15013,14963,14917,14886,14883,14866,14866,14888
6,20773,26230,25470,25104,22353,21067,20196,19928,19658,20071,20236,20320,20371,20596,21706,22683,22620,22846,23756,25386,25049,24988,23623,23593,23902,23603,23808,23756,23314,22843,21615,20144,18753,18042,16649,15541,15163,14783,14356,13832,13664,12852,12903,13501,13146,13811,13510,13856,13542,13326,13491,13637,14081,14480,14673,15204,15252,15859,15929,16428,13481,13668,14246,14730,14881,15499,16954,16862,16467,16266,15677,15454,14839,14455,14542,14609,14571,14602,14533,14498,14485,14500,14521,14571,14616,14695,14765,14855,14943,15046,15140,15244,15333,15415,15485,15547,15584,15610,15628,15607,15579,15533,15454,15375,15300,15216,15125,15062,15011,14965,14933,14930,14911,14911
7,20988,20752,26235,25539,25076,22473,21235,20310,19892,19654,20057,20231,20319,20424,20676,21671,23039,22712,22833,23814,25405,25161,25087,23750,23710,24039,23731,23978,23841,23379,22882,21657,20186,18792,18091,16662,15603,15221,14807,14378,13566,13753,12940,12957,13604,13301,13981,13697,13946,13622,13409,13635,13852,14251,14673,14830,15455,15468,16009,16046,13464,13666,13982,14484,14938,15042,17630,16958,16990,16592,16388,15796,15571,14955,14569,14652,14718,14678,14706,14636,14599,14583,14596,14614,14661,14703,14779,14846,14935,15021,15122,15215,15316,15403,15483,15552,15613,15648,15672,15688,15666,15635,15589,15508,15428,15353,15268,15176,15113,15061,15014,14982,14977,14958
8,21597,21031,20766,26297,25506,25149,22525,21349,20276,19908,19756,20202,20337,20404,20492,20685,21837,23239,22768,22776,23814,25531,25277,25188,23885,23827,24180,23867,24150,23925,23440,22908,21687,20215,18853,18129,16692,15663,15298,14837,14176,13647,13809,13000,13024,13749,13471,14177,13925,14073,13710,13583,13793,13975,14450,14813,15037,15676,15671,16058,13707,13648,13902,14200,14710,15098,17412,17636,17086,17114,16714,16508,15914,15687,15070,14681,14761,14825,14783,14809,14738,14697,14679,14689,14705,14749,14788,14861,14927,15013,15098,15197,15288,15388,15473,15552,15618,15678,15711,15734,15748,15724,15693,15644,15562,15482,15406,15320,15228,15164,15112,15064,15031,15026
9,21356,21586,21005,20891,26316,25645,25099,22619,21281,20263,19960,19873,20209,20318,20442,20534,20707,21921,23480,22945,22888,23950,25661,25390,25284,24024,23946,24317,23999,24321,24020,23497,22922,21735,20306,18902,18175,16742,15714,15368,14610,14260,13732,13874,13074,13118,13900,13605,14380,14154,14200,13863,13736,13978,14169,14578,15074,15268,15861,15831,14201,13862,13881,14133,14399,14865,17076,17444,17763,17213,17238,16835,16627,16031,15802,15183,14792,14870,14931,14888,14912,14838,14795,14774,14781,14794,14836,14872,14943,15008,15093,15175,15273,15362,15461,15544,15621,15686,15743,15775,15796,15810,15784,15751,15702,15619,15538,15462,15375,15282,15218,15165,15116,15083
10,22293,21387,21625,21014,20776,26279,25613,25192,22647,21433,20613,19996,19922,20308,20343,20464,20531,20779,21881,23748,23028,23048,24093,25788,25503,25381,24155,24060,24458,24135,24490,24105,23549,22961,21794,20327,18947,18210,16768,15768,15171,14694,14337,13804,13962,13198,13231,14028,13797,14597,14380,14379,14039,13905,14187,14319,14855,15311,15397,15963,14287,14395,14139,14062,14328,14573,17041,17118,17575,17891,17340,17361,16957,16747,16148,15917,15297,14903,14978,15037,14993,15014,14938,14892,14869,14873,14884,14923,14957,15027,15090,15173,15254,15351,15438,15535,15616,15691,15755,15811,15841,15861,15873,15846,15812,15762,15679,15597,15520,15433,15339,15274,15220,15172
11,25649,22286,21403,21722,21010,20868,26256,25599,25246,22728,21726,20575,20136,19944,20317,20314,20482,20615,20762,21980,23997,23184,23206,24229,25917,25622,25480,24292,24173,24603,24270,24548,24142,23583,23035,21834,20376,18960,18252,16816,15629,15230,14756,14407,13891,14092,13356,13354,14158,13985,14796,14493,14512,14227,14124,14369,14568,15046,15530,15514,14681,14402,14624,14368,14378,14510,17049,17122,17254,17707,18019,17469,17487,17080,16868,16266,16034,15412,15016,15088,15145,15099,15117,15038,14991,14965,14967,14974,15012,15045,15113,15174,15256,15335,15430,15516,15611,15691,15765,15827,15881,15910,15928,15939,15911,15876,15826,15742,15660,15582,15494,15400,15334,15280
12,24962,25604,22313,21515,21724,21056,20891,26396,25631,25269,22987,21955,20698,20071,19978,20408,20432,20535,20633,20880,22089,24020,23346,23367,24373,26047,25734,25575,24431,24287,24745,24340,24591,24221,23636,23064,21863,20403,18998,18310,16742,15708,15293,14829,14497,14021,14221,13489,13492,14315,14142,14910,14655,14668,14438,14278,14613,14805,15243,15629,14159,14867,14678,14814,14613,14530,16628,17094,17263,17393,17842,18151,17600,17615,17206,16992,16388,16153,15530,15131,15201,15255,15207,15222,15141,15091,15062,15062,15068,15104,15135,15202,15262,15342,15420,15513,15597,15690,15769,15841,15902,15955,15982,15999,16008,15980,15945,15894,15809,15726,15648,15560,15465,15399
13,26170,25001,25638,22272,21455,21678,21088,20900,26407,25702,25455,23033,22164,20669,20205,20029,20400,20436,20563,20679,20968,22310,24041,23503,23524,24512,26174,25853,25669,24564,24390,24758,24362,24676,24276,23664,23109,21901,20430,19020,18233,16829,15771,15307,14915,14625,14184,14353,13624,13636,14451,14259,15048,14793,14812,14570,14494,14837,15007,15386,14516,14276,15089,14860,15022,14762,16715,16679,17242,17407,17535,17980,18286,17734,17747,17336,17119,16512,16275,15651,15250,15317,15368,15317,15330,15247,15194,15163,15161,15166,15200,15230,15295,15353,15432,15508,15599,15682,15774,15851,15921,15981,16032,16058,16074,16083,16054,16018,15966,15882,15798,15719,15630,15535
