PLACES,ABRUZZO,AGRIGENTO,ALESSANDRIA,ANCONA,AOSTA,AREZZO,ASCOLI PICENO,ASTI,AVELLINO,BARI,BASILICATA,BELLUNO,BENEVENTO,BERGAMO,BIELLA,BOLOGNA,BOLZANO,BRESCIA,BRINDISI,CAGLIARI,CALABRIA,CALTANISSETTA,CAMPANIA,CAMPOBASSO,CASERTA,CATANIA,CATANZARO,CHIETI,COMO,COSENZA,CREMONA,CROTONE,CUNEO,EMILIA-ROMAGNA,ENNA,FERRARA,FIRENZE,FOGGIA,FRIULI VENEZIA GIULIA,FROSINONE,GENOVA,GORIZIA,GROSSETO,IMPERIA,ISERNIA,ITALIA,L'AQUILA,LA SPEZIA,LATINA,LAZIO,LECCE,LECCO,LIGURIA,LIVORNO,LODI,LOMBARDIA,LUCCA,MACERATA,MANTOVA,MARCHE,MASSA-CARRARA,MATERA,MESSINA,MILANO,MODENA,MOLISE,NAPOLI,NOVARA,NUORO,ORISTANO,PADOVA,PALERMO,PARMA,PAVIA,PERUGIA,PESARO E URBINO,PESCARA,PIACENZA,PIEMONTE,PISA,PISTOIA,PORDENONE,POTENZA,PRATO,PUGLIA,RAGUSA,RAVENNA,REGGIO DI CALABRIA,REGGIO NELL'EMILIA,RIETI,RIMINI,ROMA,ROVIGO,SALERNO,SARDEGNA,SASSARI,SAVONA,SICILIA,SIENA,SIRACUSA,SONDRIO,TARANTO,TERAMO,TERNI,TORINO,TOSCANA,TRAPANI,TRENTINO ALTO ADIGE,TRENTO,TREVISO,TRIESTE,UDINE,UMBRIA,VALLE D'AOSTA,VARESE,VENETO,VENEZIA,VERBANO-CUSIO-OSSOLA,VERCELLI,VERONA,VIBO VALENTIA,VICENZA,VITERBO
A_1962, 34, 37, 46, 43, 43, 43, 41, 45, 38, 36, 30, 43, 39, 39, 44, 45, 38, 40, 36, 36, 30, 37, 30, 40, 34, 36, 36, 40, 40, 36, 43, 33, 42, 36, 38, 44, 44, 36, 37, 38, 46, 45, 44, 45, 41, 34, 41, 45, 36, 33, 37, 40, 39, 43, 41, 35, 43, 43, 43, 35, 43, 36, 39, 41, 42, 34, 34, 42, 37, 38, 40, 36, 45, 44, 42, 42, 40, 45, 38, 43, 43, 42, 38, 41, 30, 38, 44, 37, 43, 42, 41, 40, 42, 36, 30, 37, 46, 31, 45, 36, 39, 35, 39, 43, 41, 37, 38, 33, 41, 40, 47, 43, 35, 35, 40, 33, 41, 43, 45, 40, 36, 39, 41
A_1963, 34, 37, 46, 43, 43, 43, 41, 45, 38, 36, 30, 43, 39, 39, 45, 45, 38, 40, 37, 36, 30, 37, 30, 40, 34, 36, 37, 41, 40, 37, 43, 34, 43, 36, 38, 45, 44, 36, 38, 39, 46, 45, 44, 45, 41, 34, 41, 46, 37, 33, 38, 40, 39, 44, 41, 35, 43, 43, 43, 35, 43, 37, 39, 41, 43, 34, 34, 43, 38, 39, 40, 37, 45, 45, 43, 42, 40, 45, 38, 43, 43, 42, 38, 41, 30, 38, 44, 37, 43, 42, 41, 40, 42, 37, 30, 37, 46, 32, 45, 37, 40, 36, 40, 44, 42, 37, 38, 33, 41, 40, 47, 43, 35, 35, 41, 33, 41, 43, 45, 41, 37, 40, 41
A_1964, 34, 37, 46, 43, 44, 43, 42, 45, 39, 36, 30, 44, 39, 39, 45, 45, 38, 40, 37, 37, 30, 37, 30, 40, 35, 36, 37, 41, 41, 37, 43, 34, 43, 36, 38, 45, 44, 36, 38, 39, 46, 45, 44, 45, 41, 34, 42, 46, 37, 33, 38, 40, 39, 44, 41, 35, 44, 43, 44, 35, 44, 37, 39, 41, 43, 34, 34, 43, 38, 39, 40, 37, 45, 45, 43, 42, 40, 45, 38, 43, 43, 42, 38, 41, 30, 38, 45, 38, 43, 42, 41, 40, 43, 37, 30, 38, 46, 32, 46, 37, 40, 36, 40, 44, 42, 37, 38, 33, 41, 41, 47, 43, 35, 36, 41, 34, 41, 43, 45, 41, 37, 40, 41
A_1965, 34, 38, 47, 43, 44, 44, 42, 45, 39, 37, 31, 44, 40, 39, 45, 46, 38, 41, 37, 37, 31, 37, 30, 41, 35, 37, 37, 41, 41, 37, 43, 34, 43, 37, 38, 46, 45, 37, 38, 39, 46, 46, 45, 46, 42, 34, 42, 46, 37, 33, 38, 41, 39, 44, 42, 35, 44, 43, 44, 35, 44, 37, 40, 42, 43, 34, 35, 43, 38, 39, 41, 37, 46, 45, 43, 43, 41, 46, 38, 44, 44, 43, 39, 42, 30, 38, 45, 38, 44, 42, 42, 41, 43, 37, 30, 38, 46, 32, 46, 37, 40, 37, 40, 44, 42, 37, 39, 33, 41, 41, 48, 44, 35, 35, 41, 34, 42, 43, 45, 41, 37, 40, 42
A_1966, 35, 38, 47, 44, 45, 44, 42, 45, 39, 37, 31, 44, 40, 40, 45, 46, 39, 41, 38, 38, 31, 37, 30, 41, 35, 37, 38, 41, 41, 38, 43, 35, 43, 37, 38, 46, 45, 37, 38, 39, 47, 46, 45, 46, 42, 34, 42, 46, 38, 33, 39, 41, 39, 45, 42, 35, 44, 44, 44, 35, 44, 38, 40, 42, 43, 35, 35, 43, 39, 40, 41, 37, 46, 45, 43, 43, 41, 46, 38, 44, 44, 43, 39, 42, 30, 38, 45, 38, 44, 43, 42, 41, 43, 38, 31, 39, 47, 32, 46, 38, 41, 37, 40, 45, 43, 38, 39, 33, 41, 41, 48, 44, 36, 36, 42, 34, 42, 44, 45, 42, 38, 41, 42
A_1967, 35, 38, 47, 44, 45, 44, 43, 46, 39, 37, 31, 44, 40, 40, 46, 46, 39, 41, 38, 38, 31, 38, 30, 41, 36, 37, 38, 42, 42, 38, 44, 35, 43, 37, 39, 46, 45, 37, 38, 40, 47, 46, 45, 46, 42, 34, 42, 47, 38, 33, 39, 41, 39, 45, 42, 35, 44, 44, 44, 36, 45, 38, 40, 42, 44, 35, 35, 43, 39, 40, 41, 38, 46, 45, 44, 43, 41, 46, 38, 44, 44, 43, 39, 42, 31, 39, 46, 38, 44, 43, 42, 41, 44, 38, 31, 39, 47, 32, 46, 38, 41, 37, 41, 45, 43, 38, 39, 33, 42, 41, 48, 44, 36, 36, 42, 34, 43, 44, 45, 42, 38, 41, 42
A_1968, 35, 39, 47, 44, 45, 44, 43, 46, 40, 38, 31, 45, 40, 40, 46, 46, 39, 41, 39, 39, 31, 38, 31, 42, 36, 37, 38, 42, 42, 39, 44, 36, 44, 37, 39, 47, 45, 38, 38, 40, 47, 46, 46, 46, 42, 34, 43, 47, 38, 33, 39, 42, 39, 45, 42, 35, 45, 44, 44, 36, 45, 38, 40, 43, 44, 35, 35, 44, 39, 40, 42, 38, 46, 46, 44, 43, 41, 46, 38, 44, 44, 43, 40, 42, 31, 39, 46, 39, 44, 43, 43, 41, 44, 38, 31, 39, 47, 32, 46, 38, 41, 38, 41, 45, 43, 38, 39, 33, 42, 42, 48, 44, 36, 36, 42, 34, 43, 44, 46, 42, 38, 41, 42
A_1969, 35, 39, 47, 44, 45, 44, 43, 46, 40, 38, 32, 45, 41, 41, 46, 46, 39, 41, 39, 39, 31, 38, 31, 42, 36, 38, 39, 42, 42, 39, 44, 36, 44, 37, 39, 47, 45, 38, 38, 40, 47, 46, 46, 47, 43, 34, 43, 47, 39, 33, 40, 42, 40, 45, 42, 35, 45, 44, 45, 36, 45, 39, 41, 43, 44, 35, 36, 44, 40, 41, 42, 38, 46, 46, 44, 44, 42, 46, 38, 45, 45, 44, 40, 43, 31, 39, 46, 39, 44, 44, 43, 42, 44, 39, 31, 40, 47, 33, 46, 39, 41, 38, 41, 45, 44, 38, 40, 34, 42, 42, 48, 45, 36, 36, 42, 34, 43, 44, 46, 42, 38, 41, 43
A_1970, 35, 39, 47, 44, 46, 45, 43, 46, 40, 38, 32, 45, 41, 41, 46, 46, 40, 42, 39, 39, 32, 38, 31, 42, 36, 38, 39, 42, 42, 39, 44, 37, 44, 38, 40, 47, 46, 38, 39, 41, 48, 46, 46, 47, 43, 35, 43, 47, 39, 33, 40, 42, 40, 46, 43, 35, 45, 44, 45, 36, 45, 39, 41, 43, 44, 36, 36, 44, 40, 41, 42, 38, 46, 46, 44, 44, 42, 47, 38, 45, 45, 44, 40, 43, 31, 39, 46, 39, 44, 44, 43, 42, 45, 39, 31, 40, 48, 33, 46, 39, 42, 39, 41, 46, 44, 38, 40, 34, 42, 42, 48, 45, 37, 36, 43, 34, 43, 45, 46, 42, 39, 41, 43
A_1971, 36, 40, 48, 45, 46, 45, 44, 46, 41, 38, 32, 45, 41, 41, 46, 46, 40, 42, 40, 40, 32, 39, 31, 42, 37, 38, 40, 43, 42, 40, 44, 37, 44, 38, 40, 47, 46, 39, 39, 41, 48, 47, 46, 47, 43, 35, 43, 48, 39, 34, 41, 42, 40, 46, 43, 35, 45, 44, 45, 36, 46, 40, 41, 43, 44, 36, 36, 44, 41, 42, 42, 39, 46, 46, 44, 44, 42, 47, 38, 45, 45, 44, 41, 43, 31, 40, 46, 40, 44, 44, 43, 42, 45, 39, 31, 40, 48, 33, 47, 39, 42, 39, 42, 46, 44, 38, 40, 34, 42, 42, 49, 45, 37, 36, 43, 34, 44, 45, 46, 42, 39, 41, 43
