PLACES,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017
ABANO TERME, 32, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 40, 41, 41, 41, 41, 42
ABBADIA CERRETO, 34, 34, 34, 36, 36, 36, 37, 36, 37, 37, 39, 39, 39, 39, 39, 39, 39, 40, 40, 42, 41, 41, 42, 41, 41, 40, 39, 39, 41, 40, 41, 41, 42, 41, 41, 40
ABBADIA LARIANA, 33, 33, 33, 34, 34, 35, 35, 35, 35, 35, 36, 37, 38, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 41, 41, 41, 41, 41, 42, 39, 40, 40, 40, 40, 41
ABBADIA SAN SALVATORE, 38, 39, 39, 39, 40, 40, 40, 41, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 45, 45, 46, 45, 46, 46, 46, 46, 46, 46, 46, 47, 45, 45, 46, 46, 46, 46
ABBASANTA, 33, 33, 33, 33, 34, 34, 34, 34, 35, 35, 36, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 38, 38, 39, 39, 39, 40
ABBATEGGIO, 42, 41, 41, 42, 41, 39, 40, 41, 41, 41, 42, 41, 41, 41, 42, 42, 42, 41, 41, 41, 41, 41, 41, 40, 41, 42, 42, 42, 42, 43, 42, 41, 41, 41, 41, 42
ABBIATEGRASSO, 35, 36, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 40, 40, 40, 40, 40, 40
ABETONE, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 41, 42, 43, 43, 43, 44, 43, 44, 44, 44, 44, 44, 45, 45, 45, 44, 44, 44, 44, 44, 44
ABRIOLA, 33, 34, 34, 35, 35, 36, 36, 36, 37, 38, 38, 38, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 42, 42, 43, 43, 43, 44, 44, 44, 42, 42, 42, 42, 43, 43
ACATE, 31, 32, 32, 32, 32, 32, 32, 32, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 36, 36, 36, 36, 36, 37, 36
ACCADIA, 36, 37, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40, 40, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 41, 41, 41, 41, 41, 41
ACCEGLIO, 45, 45, 45, 42, 44, 46, 44, 44, 46, 44, 46, 47, 48, 48, 47, 48, 49, 48, 48, 48, 50, 50, 50, 50, 50, 50, 50, 51, 51, 50, 50, 50, 49, 49, 49, 49
ACCETTURA, 38, 38, 38, 38, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 44, 40, 41, 41, 42, 42, 42
ACCIANO, 45, 45, 46, 47, 48, 47, 47, 48, 49, 51, 51, 51, 51, 51, 51, 51, 52, 52, 51, 51, 51, 51, 50, 49, 49, 51, 51, 51, 51, 51, 51, 51, 50, 49, 49, 51
ACCUMOLI, 42, 43, 42, 43, 44, 44, 44, 45, 45, 43, 44, 43, 44, 44, 45, 45, 46, 46, 46, 46, 47, 48, 48, 48, 48, 48, 47, 47, 48, 48, 46, 47, 47, 48, 47, 48
ACERENZA, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 42, 43, 43, 43, 42, 42, 42, 42, 43, 43
ACERNO, 32, 32, 32, 32, 32, 32, 32, 32, 33, 33, 34, 35, 35, 35, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 38, 38, 38, 38, 39, 39, 36, 36, 37, 37, 37, 38
ACERRA, 27, 27, 27, 27, 28, 28, 28, 28, 29, 29, 30, 30, 30, 30, 31, 31, 31, 31, 32, 32, 32, 32, 32, 33, 33, 33, 33, 33, 33, 34, 32, 32, 32, 33, 32, 32
ACI BONACCORSI, 34, 34, 34, 34, 34, 34, 34, 34, 34, 35, 34, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 38, 37, 38, 38, 38, 37, 38
ACI CASTELLO, 32, 32, 32, 32, 32, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 41, 37, 38, 38, 38, 39, 39
ACI CATENA, 28, 28, 28, 28, 28, 28, 28, 28, 29, 29, 29, 30, 30, 30, 30, 31, 31, 31, 32, 32, 33, 33, 33, 34, 34, 34, 35, 35, 36, 36, 33, 33, 33, 34, 34, 34
ACI SANT'ANTONIO, 31, 31, 31, 30, 30, 29, 30, 30, 30, 30, 30, 30, 30, 30, 31, 31, 31, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 33, 33, 34, 34, 35, 35
ACIREALE, 32, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 40, 37, 38, 38, 38, 38, 38
ACQUACANINA, 44, 48, 48, 49, 50, 50, 49, 50, 53, 52, 49, 48, 47, 44, 45, 47, 47, 47, 45, 45, 42, 39, 39, 40, 41, 41, 41, 43, 44, 44, 42, 42, 43, 45, 45, 45
ACQUAFONDATA, 39, 41, 41, 43, 43, 42, 42, 42, 44, 43, 42, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 46, 46, 45, 46, 45, 46, 48, 47, 44, 45, 47, 47, 46, 47
ACQUAFORMOSA, 36, 36, 37, 37, 37, 38, 38, 39, 39, 39, 39, 40, 40, 40, 40, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 45, 45, 45, 45, 45, 43, 43, 43, 43, 44, 44
ACQUAFREDDA, 35, 36, 36, 36, 36, 36, 36, 36, 36, 37, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 39, 39, 39, 39, 39, 39
ACQUALAGNA, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 39, 39, 39, 40, 40, 40
ACQUANEGRA CREMONESE, 37, 38, 38, 38, 38, 38, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 43, 43, 43, 43, 44, 43, 43, 43, 43, 44, 43, 42, 42, 43, 43, 43, 43
ACQUANEGRA SUL CHIESE, 39, 39, 40, 40, 40, 40, 40, 41, 40, 40, 41, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 41, 41, 42, 42, 42, 42, 43, 43, 42, 42, 41, 41, 42, 42
ACQUAPENDENTE, 40, 40, 40, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 46, 44, 44, 45, 45, 45, 45
ACQUAPPESA, 31, 31, 32, 32, 32, 32, 33, 33, 34, 34, 35, 35, 35, 36, 36, 36, 37, 37, 38, 38, 39, 40, 40, 40, 41, 41, 42, 42, 43, 43, 39, 40, 40, 41, 41, 42
ACQUARICA DEL CAPO, 31, 31, 31, 31, 31, 31, 32, 32, 32, 33, 34, 34, 34, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 37, 38, 38, 38, 39, 39, 39, 37, 37, 37, 37, 38, 38
ACQUARO, 32, 32, 33, 32, 33, 33, 33, 34, 34, 34, 35, 36, 36, 37, 37, 37, 38, 38, 37, 38, 38, 38, 39, 39, 39, 40, 41, 41, 41, 42, 38, 39, 39, 40, 40, 40
ACQUASANTA TERME, 38, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 42, 42, 42, 42, 42, 43, 43, 44, 44, 44, 44, 44, 44, 44, 45, 45, 46, 46, 44, 44, 44, 44, 44, 45
ACQUASPARTA, 39, 39, 39, 39, 39, 40, 41, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 43, 43, 43, 42, 43, 42, 42, 42, 42, 42, 42, 42, 42, 42, 43, 42, 42, 42, 42
ACQUAVIVA COLLECROCE, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 42, 42, 43, 44, 44, 44, 43, 43, 44, 43, 43, 44, 44, 44, 44, 45, 45, 45, 45, 46, 44, 44, 44, 44, 44, 45
ACQUAVIVA D'ISERNIA, 32, 33, 33, 34, 34, 35, 36, 35, 35, 36, 37, 37, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 41, 42, 42, 42, 41, 40, 41, 41, 42, 42, 41
ACQUAVIVA DELLE FONTI, 32, 32, 33, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 38, 38, 38, 39, 39, 40
ACQUAVIVA PICENA, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 41, 42, 40, 40, 40, 40, 41, 41
ACQUAVIVA PLATANI, 41, 41, 42, 41, 41, 41, 41, 41, 41, 41, 42, 42, 41, 41, 42, 42, 43, 43, 43, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45, 44, 44, 44, 44, 44, 43, 44
ACQUEDOLCI, 32, 32, 32, 32, 33, 33, 33, 33, 33, 34, 34, 34, 35, 35, 35, 35, 36, 36, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 39, 39, 37, 37, 37, 38, 37, 38
ACQUI TERME, 39, 40, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 43, 43, 44, 44, 44, 44, 44, 44, 45, 45, 45, 45, 45, 45, 45, 45, 46, 44, 45, 45, 45, 45, 45
ACRI, 31, 32, 32, 32, 32, 33, 33, 33, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 38, 39, 39, 39, 40, 40, 41, 41, 41, 41, 38, 39, 39, 39, 40, 40
ACUTO, 35, 35, 35, 36, 36, 36, 36, 37, 37, 37, 37, 37, 37, 38, 38, 39, 38, 39, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 41, 39, 39, 39, 39, 40, 40
ADELFIA, 33, 33, 33, 33, 34, 33, 34, 33, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 37, 37, 38, 38, 38, 38
ADRANO, 31, 31, 31, 31, 32, 32, 32, 32, 32, 32, 33, 33, 33, 33, 33, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 35, 35, 35, 35, 35, 35
ADRARA SAN MARTINO, 34, 34, 34, 34, 35, 35, 35, 35, 35, 35, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 36, 37, 37, 37, 37, 37, 38, 38, 36, 36, 36, 37, 37, 37
ADRARA SAN ROCCO, 33, 34, 34, 34, 35, 35, 36, 36, 36, 36, 36, 36, 36, 37, 36, 37, 36, 37, 37, 37, 37, 37, 37, 37, 37, 38, 39, 38, 39, 39, 37, 37, 37, 37, 37, 38
ADRIA, 36, 36, 36, 37, 37, 37, 38, 38, 38, 38, 39, 39, 39, 40, 40, 40, 41, 41, 41, 41, 42, 42, 42, 42, 43, 43, 43, 43, 44, 44, 42, 42, 42, 42, 43, 43
ADRO, 32, 33, 33, 33, 34, 34, 34, 34, 35, 35, 36, 37, 37, 37, 37, 37, 37, 38, 38, 38, 38, 38, 38, 39, 39, 39, 39, 39, 39, 39, 38, 38, 38, 38, 38, 39
AFFILE, 35, 35, 36, 36, 36, 35, 36, 35, 35, 36, 37, 36, 37, 36, 37, 38, 38, 39, 39, 40, 40, 40, 41, 41, 41, 42, 42, 42, 43, 43, 40, 40, 40, 41, 41, 42
