PLACES,ABRUZZO,AGRIGENTO,ALESSANDRIA,ANCONA,AOSTA,AREZZO,ASCOLI PICENO,ASTI,AVELLINO,BARI,BASILICATA,BELLUNO,BENEVENTO,BERGAMO,BIELLA,BOLOGNA,BOLZANO,BRESCIA,BRINDISI,CAGLIARI,CALABRIA,CALTANISSETTA,CAMPANIA,CAMPOBASSO,CASERTA,CATANIA,CATANZARO,CHIETI,COMO,COSENZA,CREMONA,CROTONE,CUNEO,EMILIA-ROMAGNA,ENNA,FERRARA,FIRENZE,FOGGIA,FRIULI VENEZIA GIULIA,FROSINONE,GENOVA,GORIZIA,GROSSETO,IMPERIA,ISERNIA,ITALIA,L'AQUILA,LA SPEZIA,LATINA,LAZIO,LECCE,LECCO,LIGURIA,LIVORNO,LODI,LOMBARDIA,LUCCA,MACERATA,MANTOVA,MARCHE,MASSA-CARRARA,MATERA,MESSINA,MILANO,MODENA,MOLISE,NAPOLI,NOVARA,NUORO,ORISTANO,PADOVA,PALERMO,PARMA,PAVIA,PERUGIA,PESARO E URBINO,PESCARA,PIACENZA,PIEMONTE,PISA,PISTOIA,PORDENONE,POTENZA,PRATO,PUGLIA,RAGUSA,RAVENNA,REGGIO DI CALABRIA,REGGIO NELL'EMILIA,RIETI,RIMINI,ROMA,ROVIGO,SALERNO,SARDEGNA,SASSARI,SAVONA,SICILIA,SIENA,SIRACUSA,SONDRIO,TARANTO,TERAMO,TERNI,TORINO,TOSCANA,TRAPANI,TRENTINO ALTO ADIGE,TRENTO,TREVISO,TRIESTE,UDINE,UMBRIA,VALLE D'AOSTA,VARESE,VENETO,VENEZIA,VERBANO-CUSIO-OSSOLA,VERCELLI,VERONA,VIBO VALENTIA,VICENZA,VITERBO
A_1952, 29, 33, 40, 36, 36, 38, 36, 39, 33, 31, 27, 36, 34, 32, 37, 38, 32, 33, 31, 30, 26, 32, 27, 35, 30, 32, 31, 35, 34, 31, 36, 28, 37, 32, 34, 37, 38, 31, 32, 34, 39, 37, 38, 39, 36, 30, 36, 39, 32, 29, 31, 33, 35, 37, 35, 32, 37, 37, 37, 30, 37, 32, 34, 34, 36, 29, 29, 36, 32, 34, 33, 32, 39, 38, 37, 36, 34, 39, 35, 37, 37, 35, 33, 35, 27, 33, 38, 32, 37, 37, 35, 33, 35, 32, 28, 32, 39, 29, 40, 32, 33, 30, 34, 38, 35, 33, 33, 30, 34, 33, 40, 36, 31, 32, 34, 29, 34, 35, 39, 34, 31, 33, 36
A_1953, 29, 33, 40, 37, 36, 38, 36, 40, 34, 31, 27, 36, 34, 32, 38, 39, 32, 33, 31, 31, 26, 32, 27, 35, 30, 32, 32, 35, 34, 32, 36, 29, 38, 32, 34, 38, 38, 31, 32, 34, 39, 37, 38, 39, 36, 30, 36, 39, 32, 30, 32, 34, 35, 37, 35, 32, 37, 37, 37, 30, 37, 32, 34, 34, 37, 29, 29, 36, 32, 34, 33, 32, 39, 38, 37, 36, 35, 39, 36, 38, 37, 35, 34, 35, 27, 33, 38, 32, 37, 37, 35, 34, 36, 32, 28, 32, 39, 29, 40, 32, 33, 30, 35, 38, 35, 33, 34, 30, 35, 34, 40, 36, 31, 33, 34, 29, 34, 35, 39, 34, 31, 33, 36
A_1954, 29, 33, 40, 37, 36, 38, 36, 40, 34, 31, 27, 36, 35, 33, 38, 39, 32, 33, 31, 31, 26, 32, 27, 35, 30, 32, 32, 36, 34, 32, 36, 29, 38, 33, 34, 38, 38, 31, 32, 34, 39, 37, 39, 39, 36, 31, 36, 39, 32, 30, 32, 34, 36, 38, 35, 32, 37, 38, 37, 31, 37, 32, 34, 35, 37, 29, 29, 37, 33, 34, 34, 32, 39, 39, 37, 37, 35, 39, 35, 38, 38, 35, 34, 36, 27, 34, 38, 33, 38, 37, 35, 34, 36, 32, 28, 33, 40, 29, 40, 32, 33, 31, 35, 38, 35, 34, 34, 31, 35, 34, 40, 37, 31, 33, 34, 30, 34, 36, 39, 35, 32, 34, 37
A_1955, 30, 33, 41, 37, 37, 39, 36, 40, 34, 31, 27, 36, 35, 33, 38, 39, 33, 34, 32, 31, 26, 32, 27, 36, 30, 32, 32, 36, 34, 32, 37, 29, 38, 33, 34, 38, 38, 32, 33, 34, 39, 38, 39, 40, 36, 31, 36, 39, 32, 30, 32, 34, 36, 38, 35, 32, 38, 38, 37, 31, 37, 33, 35, 35, 37, 29, 29, 37, 33, 34, 34, 32, 39, 39, 38, 37, 35, 40, 36, 38, 38, 36, 34, 36, 28, 34, 39, 33, 38, 38, 36, 34, 36, 32, 28, 33, 40, 29, 41, 33, 34, 31, 35, 39, 36, 34, 34, 31, 35, 34, 40, 37, 32, 33, 35, 30, 35, 36, 39, 35, 32, 34, 37
A_1956, 30, 33, 41, 37, 37, 39, 37, 40, 34, 32, 28, 37, 35, 33, 38, 40, 33, 34, 32, 32, 27, 33, 27, 36, 30, 32, 32, 36, 35, 32, 37, 29, 38, 33, 34, 39, 39, 32, 33, 35, 40, 38, 39, 40, 37, 31, 37, 40, 33, 30, 32, 34, 36, 38, 35, 32, 38, 38, 38, 31, 38, 33, 35, 35, 38, 30, 30, 37, 33, 35, 34, 32, 40, 39, 38, 37, 35, 40, 36, 38, 38, 36, 34, 36, 28, 34, 39, 33, 38, 38, 36, 35, 36, 33, 28, 33, 40, 29, 41, 33, 34, 31, 35, 39, 36, 34, 34, 31, 35, 35, 41, 37, 32, 33, 35, 30, 35, 36, 39, 35, 32, 34, 37
A_1957, 30, 34, 41, 38, 37, 39, 37, 40, 34, 32, 28, 37, 35, 34, 39, 40, 33, 34, 32, 32, 27, 33, 27, 36, 31, 32, 33, 36, 35, 33, 37, 30, 38, 33, 34, 39, 39, 32, 33, 35, 40, 39, 40, 40, 37, 31, 37, 40, 33, 30, 33, 35, 36, 38, 36, 32, 38, 38, 38, 31, 38, 33, 35, 36, 38, 30, 30, 37, 33, 35, 35, 33, 40, 39, 38, 38, 36, 40, 36, 38, 39, 36, 34, 37, 28, 34, 39, 33, 39, 38, 36, 35, 37, 33, 28, 33, 41, 29, 41, 33, 34, 32, 36, 39, 37, 34, 34, 31, 36, 35, 41, 37, 32, 33, 35, 30, 35, 37, 39, 36, 32, 34, 37
A_1958, 31, 34, 41, 38, 38, 39, 37, 41, 35, 32, 28, 37, 35, 34, 39, 40, 33, 35, 32, 32, 27, 33, 27, 36, 31, 33, 33, 37, 35, 33, 38, 30, 39, 34, 35, 40, 39, 32, 33, 35, 40, 39, 40, 40, 37, 31, 37, 40, 33, 30, 33, 35, 36, 39, 36, 32, 38, 39, 38, 32, 38, 34, 35, 36, 38, 30, 30, 38, 34, 35, 35, 33, 40, 40, 39, 38, 36, 41, 36, 39, 39, 37, 35, 37, 28, 34, 40, 33, 39, 38, 37, 35, 37, 33, 28, 34, 41, 29, 41, 33, 35, 32, 36, 39, 37, 34, 35, 31, 36, 35, 41, 38, 32, 33, 36, 31, 36, 37, 40, 36, 33, 35, 37
A_1959, 31, 34, 42, 38, 38, 40, 38, 41, 35, 32, 28, 38, 36, 34, 39, 41, 34, 35, 33, 33, 27, 33, 28, 37, 31, 33, 33, 37, 36, 33, 38, 30, 39, 34, 35, 40, 40, 33, 34, 35, 41, 39, 40, 41, 37, 31, 37, 41, 34, 31, 33, 35, 36, 39, 36, 33, 39, 39, 38, 32, 39, 34, 35, 36, 39, 31, 31, 38, 34, 35, 36, 33, 40, 40, 39, 38, 36, 41, 36, 39, 39, 37, 35, 37, 28, 35, 40, 34, 39, 39, 37, 36, 37, 33, 29, 34, 41, 29, 42, 34, 35, 32, 36, 40, 37, 35, 35, 31, 36, 36, 41, 38, 33, 34, 36, 31, 36, 37, 40, 36, 33, 35, 38
A_1960, 31, 34, 42, 39, 38, 40, 38, 41, 35, 33, 28, 38, 36, 35, 39, 41, 34, 35, 33, 33, 27, 34, 28, 37, 31, 33, 34, 37, 36, 34, 38, 31, 39, 34, 35, 40, 40, 33, 34, 36, 41, 40, 40, 41, 37, 31, 37, 41, 34, 31, 34, 36, 36, 39, 37, 33, 39, 39, 39, 32, 39, 34, 36, 37, 39, 31, 31, 38, 34, 36, 36, 33, 41, 40, 39, 38, 37, 41, 36, 39, 39, 37, 35, 37, 28, 35, 41, 34, 39, 39, 37, 36, 38, 34, 29, 34, 41, 29, 42, 34, 35, 33, 36, 40, 38, 35, 35, 31, 36, 36, 42, 38, 33, 34, 36, 31, 37, 38, 40, 36, 33, 35, 38
A_1961, 31, 35, 42, 39, 39, 40, 38, 41, 35, 33, 28, 38, 36, 35, 40, 41, 34, 36, 33, 33, 27, 34, 28, 37, 32, 33, 34, 38, 36, 34, 38, 31, 39, 34, 35, 41, 40, 33, 34, 36, 41, 40, 41, 41, 38, 32, 38, 41, 34, 31, 34, 36, 37, 40, 37, 33, 39, 40, 39, 32, 39, 34, 36, 37, 39, 31, 31, 38, 35, 36, 36, 34, 41, 40, 39, 39, 37, 41, 36, 39, 40, 38, 36, 38, 28, 35, 41, 34, 40, 39, 38, 36, 38, 34, 29, 35, 42, 30, 42, 34, 36, 33, 37, 40, 38, 35, 35, 31, 37, 36, 42, 39, 33, 34, 36, 31, 37, 38, 40, 37, 34, 36, 38
